,EPIC,Unnamed: 0,angDist,gmag,rmag,imag,zmag,ymag,J,H,K,RAJ2000,DEJ2000,spec_class,T,logT,BCv,Mv,logL,B-V,Bt-Vt,V-G,U-B,V-Rc,V-Ic,V-Ks,J-H,H-K,Ks-W1,W1-W2,W1-W3,W1-W4,Msun,logAge,b-y,M_J,M_Ks,Mbol,i-z,z-Y,R_Rsun,#SpT.1,lum_class,u_g,g_r,r_i,i_z,z_J,J_H,H_K,Jmag_abs,T_err,R_Rsun_err,Mbol_err,72,L_quiet,L_quiet_bol,L_quiet_err,L_quiet_bol_err,g_i,J_K,r_z,g_z,J-K,SDSS_g,PS1_g,SDSS_r,PS1_r,SDSS_i,PS1_i,SDSS_z,PS1_z,SDSS_y,PS1_y
0,211700306,70.0,0.759759,17.5412,16.2636,15.2019,14.7179,14.4723,13.296,12.712,12.476,129.06036668,15.91977263,M2,3550.0,3.55,-1.65,10.3,-1.57,1.5,,1.0859999999999999,1.17,1.001,2.173,4.24,0.6,0.23399999999999999,0.11,,,,0.48,,,6.89,6.06,8.65,0.53,,0.434,M2V,V  ,2.59,1.43,0.85,0.52,1.33,0.69,0.15,6.23,76.37626158015652,0.0868,0.125,,1.1620251549648296e+30,4.724232079919543e+29,3.857144558204613e+29,1.3597432953833746e+29,2.3393,0.8200000000000003,1.5457,2.8233,0.8200000000000003,17.794516594532507,17.5412,16.29413150575257,16.2636,15.203370282870686,15.2019,14.635027461433632,14.7179,14.617008622701546,14.4723
1,211707676,76.0,0.5296960000000001,21.5463,20.1961,18.1771,17.2422,16.7429,15.339,14.844,14.315,130.22665876,16.01684011,M5,3030.0,3.4810000000000003,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.2769999999999997,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.19899999999999998,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439076998,0.0398,0.25,,8.021215831913957e+28,2.0152606473591297e+27,2.551121693927748e+28,1.1600772812766656e+27,3.3692,1.0240000000000011,2.9539000000000013,4.304099999999998,1.0240000000000011,21.872079227622695,21.5463,20.251884784560378,20.1961,18.193567195985334,18.1771,17.066514146450796,17.2422,17.114638006926366,16.7429
2,211708110,74.0,0.738907,20.3442,19.0311,17.3073,16.5188,16.1371,14.791,14.224,13.877,129.15541153,16.02228144,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000002,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,3.0369,0.913999999999998,2.5123,3.825400000000002,0.913999999999998,20.64738849881204,20.3442,19.07347939415922,19.0311,17.317905568082775,17.3073,16.38277681390386,16.5188,16.410115920746513,16.1371
3,211725787,74.0,0.500143,20.7184,19.4732,17.7555,16.9377,16.5213,15.219,14.604,14.239,128.29855293,16.26424102,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000002,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,2.9628999999999976,0.9800000000000004,2.535499999999999,3.7807,0.9800000000000004,21.016489669905994,20.7184,19.513380645539357,19.4732,17.76494377681201,17.7555,16.80908224168302,16.9377,16.776092665944862,16.5213
4,211727975,74.0,0.5790069999999999,20.4488,19.1879,17.5013,16.7,16.3024,15.036,14.402,14.184,129.99411265,16.2961824,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000002,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,2.947499999999998,0.8519999999999985,2.4879,3.7487999999999992,0.8519999999999985,20.745824381818284,20.4488,19.227655843181562,19.1879,17.51050823457219,17.5013,16.572863191732814,16.7,16.553558315859217,16.3024
5,211729756,71.0,0.508919,17.8854,16.671,15.4179,14.8674,14.604,13.35,12.777,12.535,127.64640489,16.32145447,M2.5,3500.0,3.544,-1.76,10.7,-1.68,1.5219999999999998,,1.179,1.175,1.041,2.306,4.43,0.589,0.244,0.11699999999999999,,,,0.44,,,7.01,6.27,8.94,0.57,,0.39299999999999996,M2.5V,V  ,2.74,1.47,1.01,0.63,1.32,0.66,0.18,6.51,70.94598884334107,0.0786,0.14499999999999955,,8.912155551898872e+29,2.4228762028039462e+29,2.899752914200289e+29,8.089374008782233e+28,2.4675000000000007,0.8149999999999995,1.8036,3.0180000000000007,0.8149999999999995,18.14825077614828,17.8854,16.702420585761566,16.671,15.420765190152187,15.4179,14.777233603832812,14.8674,14.765874163769219,14.604
6,211734093,69.0,0.531414,15.9864,14.7883,14.0144,13.6731,13.4876,12.347,11.698,11.508,129.13552675,16.38395216,M1.5,3650.0,3.562,-1.57,9.97,-1.47,1.486,,1.03,1.17,0.978,2.089,4.12,0.607,0.228,0.105,,,,0.5,,,6.69,5.85,8.4,0.47,,0.46,M1.5V,,,,,,,,,,76.37626158016221,0.092,0.17499999999999982,,1.5665575864231329e+30,8.401004635966278e+29,5.096503230300147e+29,3.385204907166215e+29,1.9719999999999995,0.8390000000000022,1.1151999999999995,2.3133,0.8390000000000022,16.211125790707843,15.9864,14.818414647747838,14.7883,14.01246923814784,14.0144,13.606681971052797,13.6731,13.594388666391682,13.4876
7,211738707,74.0,0.5472279999999999,20.0458,18.781,17.0336,16.2177,15.8073,14.487,13.895,13.625,132.33474645,16.44842663,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000002,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,3.0122,0.8620000000000001,2.563299999999998,3.8280999999999987,0.8620000000000001,20.347290145733407,20.0458,18.822616059176433,18.781,17.043812219763588,17.0336,16.084202554087753,16.2177,16.074091573160448,15.8073
8,211745306,73.0,0.516892,19.6978,18.4529,16.843,16.0962,15.7412,14.424,13.829,13.618,131.04870098,16.54234666,M3.5,3250.0,3.512,-2.27,12.19,-2.07,1.6019999999999999,,1.4669999999999999,1.2,1.178,2.68,5.0,0.5579999999999999,0.26899999999999996,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.29100000000000004,M3.5V,,,,,,,,,,109.69655114431325,0.058200000000000016,0.375,,2.957123237734915e+29,2.53706284034917e+28,1.2469591636501151e+29,2.190676153566424e+28,2.8548000000000013,0.8060000000000009,2.3567,3.601600000000001,0.8060000000000009,19.988378133761344,19.6978,18.490327127447667,18.4529,16.8508347231331,16.843,15.97755596048373,16.0962,15.971587304820268,15.7412
9,211748286,74.0,0.731169,18.7323,17.4724,15.9221,15.2024,14.8284,13.54,12.858,12.62,127.78144009,16.58440955,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000002,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,2.8101999999999983,0.92,2.27,3.5298999999999983,0.92,19.01975435694849,18.7323,17.508841068879622,17.4724,15.92930044395198,15.9221,15.08759259644165,15.2024,15.049446880777847,14.8284
