,Name,EPIC,Mass,r'mag,Kmag,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,ProtA,ProtD,ProtS,ProtK,Kpmag,Notes,PrCat,PCat,All,2M,Simbad,RAJ2000,DEJ2000
0,KW547  ,211898181,1.05,11.65,9.7,     ,       ,2, ,        ,       ,       , , , , ,conf,        ,        , ,     ,     ,     ,     ,11.68,                                                                                            ,0,0,All,2M,Simbad,130.157851,18.700121
1,A 448  ,211845572,0.15,18.59,14.57,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,     ,     ,     ,     ,17.36,optical image is extended                                                                   ,0,0,All,2M,Simbad,129.143078,17.957611
2,KW548  ,212004731,0.8,11.81,10.59,3.96,0.1085,0,N,0.00838,       ,       , ,M,Y,Y,conf,0.00157,0.02363,2,     ,     ,     ,     ,11.79,peak splitting; only one detected                                                           ,0,0,All,2M,Simbad,130.815494,20.333748
3,JC201  ,211930461,0.73,13.49,10.76,14.59,0.8391,0,Y,0.00816,       ,       , ,N,Y,Y,conf,0.00934,0.38429,2,     ,     ,     ,     ,13.49,binary barely resolved in SDSS                                                              ,0,1,All,2M,Simbad,130.088905,19.181773
4,       ,212094548,0.16,19.52,14.25,6.6,0.0089,1,N,0.00521,       ,       , ,N,N,N,    ,0.04953,0.77485,2,     ,     ,     ,     ,18.71,                                                                                            ,0,1,All,2M,Simbad,130.28112099999998,21.915739000000002
5,       ,211907293,0.15,20.04,14.57,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,     ,     ,     ,     ,18.11,                                                                                            ,0,1,All,2M,Simbad,134.46792299999998,18.835285
6,KW222  ,211988287,1.24,9.78,8.96,3.29,0.2073,0,N,0.00861,       ,       , ,M,Y,N,    ,0.00281,0.05792,2,     ,     ,     ,     ,10.08,peak splitting                                                                              ,1,1,All,2M,Simbad,129.979432,20.065025
7,KW238  ,211971871,1.22,9.78,9.08,2.96,0.6674,0,Y,0.00747,       ,       , ,N,Y,N,    ,0.01633,0.68585,K,     ,     ,     ,2.99,10.22,                                                                                            ,1,1,All,2M,Simbad,130.002601,19.806559
8,KW239  ,211992776,1.4,9.55,8.62,1.18,0.3026,0,Y,0.00791,       ,       , ,M,Y,N,    ,0.00109,0.0278,2,     ,     ,     ,     ,9.73,                                                                                            ,1,1,All,2M,Simbad,130.00539799999999,20.13563
9,KW282  ,211990908,1.28,9.94,8.85,2.56,0.259,0,Y,0.00802,       ,       , ,Y,Y,Y,conf,0.00497,0.14016,K,     ,     ,     ,2.59,10.04,                                                                                            ,1,1,All,2M,Simbad,130.092964,20.106772
10,KW275  ,211970750,1.42,9.43,8.58,     ,       ,2, ,        ,       ,       , , , , ,cand,        ,        ,K,     ,     ,     ,6.69,9.85,there's a signal but the only detected one is a long-period trend                           ,1,1,All,2M,Simbad,130.073432,19.787566
11,KW392  ,211980688,1.16,10.57,9.33,6.78,0.678,0,Y,0.0083,       ,       , ,N,Y,Y,    ,0.01199,0.43691,K,     ,     ,     ,6.6,10.61,                                                                                            ,1,1,All,2M,Simbad,130.35767099999998,19.943569
12,KW100  ,211990866,1.19,10.39,9.18,4.26,0.3217,0,Y,0.00788,       ,       , ,M,Y,N,conf,0.01358,0.28341,K,     ,     ,     ,4.3,10.41,complex peaks                                                                               ,0,1,All,2M,Simbad,129.60125,20.106063
13,KW293  ,211950227,1.33,9.77,8.76,     ,       ,3, ,        ,       ,       , , , , ,    ,        ,        ,D,     ,13.15,     ,     ,9.82,                                                                                            ,2,1,All,2M,Simbad,130.106426,19.475770999999998
14,KW182  ,211988531,1.3,10.13,8.81,7.22,0.7182,0,Y,0.00913,       ,       , ,N,Y,N,cand,0.01312,0.5972,D,     ,7.02,     ,7.11,10.17,                                                                                            ,2,1,All,2M,Simbad,129.876756,20.069053
15,KW341  ,211950703,1.22,9.93,9.05,3.82,0.2884,0,Y,0.00772,       ,       , ,M,Y,N,conf,0.00499,0.13437,K,     ,     ,     ,4.02,10.21,either very strong spot evolution or there's another period. There's a fourth peak around 1.,1,1,All,2M,Simbad,130.218848,19.483220000000003
16,KW304  ,211996831,1.03,11.3,9.83,4.37,0.4438,1,Y,0.0078,10.1182,0.1935,1,Y,M,N,    ,0.01133,0.34386,K,     ,     ,     ,8.79,11.28,peak splitting and neither matches the visible repeats in the lc very well                  ,1,2,All,2M,Simbad,130.132701,20.201685
17,KW309  ,211974702,1.02,11.41,9.91,8.49,0.3516,0,Y,0.00788,       ,       , ,M,Y,Y,    ,0.00317,0.11872,K,     ,     ,     ,8.43,11.45,visual double in SDSS; several undetected peaks                                             ,1,2,All,2M,Simbad,130.132026,19.850285999999997
18,KW335  ,211979334,1.1,10.85,9.51,7.93,0.4857,0,N,0.0082,       ,       , ,N,Y,Y,    ,0.02467,1.08504,D,     ,7.43,     ,7.91,10.9,                                                                                            ,2,1,All,2M,Simbad,130.20134099999999,19.921913
19,KW367  ,211975006,1.24,10.47,8.94,3.07,0.8413,0,Y,0.00872,       ,       , ,N,Y,Y,conf,0.03469,1.53405,K,     ,     ,     ,6.04,10.49,                                                                                            ,1,2,All,2M,Simbad,130.290003,19.855179999999997
20,KW368  ,211972627,1.04,11.29,9.75,9.05,0.0846,1,N,0.00881,       ,       , ,N,M,M,conf,0.01775,0.58333,K,     ,     ,     ,9.01,11.35,strong scatter in noise                                                                     ,1,2,All,2M,Simbad,130.292938,19.818614
21,KW127  ,211988454,1.15,10.64,9.37,8.44,0.2566,1,N,0.0072,22.1036,0.1818,1,Y,Y,M,conf,0.00255,0.06089,2,     ,     ,     ,     ,10.64,peak splitting; lots of peaks                                                               ,1,1,All,2M,Simbad,129.70837,20.067622
22,KW 31  ,211955820,1.48,9.58,8.46,3.62,0.3628,0,N,0.00805,6.604,0.2397,0,Y,N,N,cand,0.004,0.11457,2,     ,     ,     ,     ,9.92,complex peaks                                                                               ,1,1,All,2M,Simbad,129.366423,19.562551000000003
23,KW288  ,211949471,1.16,10.27,9.34,6.84,0.5147,0,Y,0.00797,       ,       , ,N,Y,Y,    ,0.00492,0.17923,K,     ,     ,     ,6.52,10.59,                                                                                            ,1,1,All,2M,Simbad,130.094662,19.464774
24,KW 49  ,211947686,1.18,10.48,9.28,5.94,0.9111,0,Y,0.00855,       ,       , ,N,Y,N,    ,0.02823,1.30146,K,     ,     ,     ,5.95,10.52,                                                                                            ,1,1,All,2M,Simbad,129.444214,19.438341
25,KW344  ,211980170,0.98,11.8,10.13,9.13,0.8959,0,Y,0.00845,       ,       , ,N,Y,M,    ,0.03243,1.50223,2,     ,     ,     ,     ,11.87,                                                                                            ,0,1,All,2M,Simbad,130.228632,19.935174
26,KW396  ,211954550,1.35,9.72,8.72,3.59,0.1655,0,N,0.00846,       ,       , ,Y,N,Y,    ,0.00159,0.03335,2,     ,     ,     ,     ,9.8,complex peaks                                                                               ,1,1,All,2M,Simbad,130.362412,19.54247
27,KW326  ,211956059,1.05,10.89,9.71,8.28,0.7527,0,Y,0.0084,       ,       , ,N,Y,N,    ,0.01693,0.73338,K,     ,     ,     ,8.37,11.2,                                                                                            ,1,2,All,2M,Simbad,130.17700000000002,19.566007
28,KW213  ,211955036,1.01,11.24,10.0,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,     ,     ,     ,     ,11.59,bleed stripe across target                                                                  ,1,1,All,2M,Simbad,129.961812,19.550575
29,KW208  ,211942823,1.18,10.51,9.26,5.79,0.4006,0,Y,0.00803,       ,       , ,M,Y,M,    ,0.01456,0.48241,D,     ,5.9,     ,6.08,10.54,peak splitting; only one detected                                                           ,2,1,All,2M,Simbad,129.94063300000002,19.366989999999998
30,KW371  ,211952381,1.25,9.76,8.91,3.06,0.2849,0,Y,0.0078,       ,       , ,M,Y,N,cand,0.00634,0.16768,K,     ,     ,     ,2.9,10.03,complex peaks                                                                               ,1,1,All,2M,Simbad,130.29175,19.508913
31,KW164  ,211997380,1.05,11.13,9.65,8.12,0.7865,0,Y,0.00748,       ,       , ,N,Y,N,conf,0.00962,0.4141,K,     ,     ,     ,8.34,11.09,                                                                                            ,1,1,All,2M,Simbad,129.812514,20.210788
32,KW495  ,211947631,1.49,9.74,8.46,4.74,0.5964,0,Y,0.00816,       ,       , ,N,Y,N,    ,0.01742,0.67219,2,     ,     ,     ,     ,9.84,                                                                                            ,0,1,All,2M,Simbad,130.774748,19.437567
33,KW162  ,211926132,1.18,10.42,9.26,5.87,0.5172,0,Y,0.00826,       ,       , ,M,N,N,    ,0.01708,0.57441,K,     ,     ,     ,5.58,10.45,peak splitting; only one detected                                                           ,1,1,All,2M,Simbad,129.800723,19.115613
34,KW227  ,211931736,1.47,9.16,8.48,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,     ,     ,     ,     ,9.52,                                                                                            ,1,1,All,2M,Simbad,129.991944,19.201646
35,KW542  ,212011152,1.02,11.48,9.93,9.16,0.5142,0,Y,0.00817,       ,       , ,N,Y,N,    ,0.01377,0.53445,K,     ,     ,     ,8.97,11.47,                                                                                            ,0,1,All,2M,Simbad,129.533717,20.439526
36,JS446  ,212025163,1.42,9.53,8.59,1.06,0.1133,0,Y,0.00811,       ,       , ,Y,N,N,    ,0.0009,0.01379,2,     ,     ,     ,     ,9.64,complex peaks                                                                               ,1,1,All,2M,Simbad,130.416701,20.672195000000002
37,AD 2676,211978983,0.38,16.7,12.35,1.37,0.1387,0,Y,0.0072,       ,       , ,N,N,Y,    ,0.01854,0.73439,2,     ,     ,     ,     ,15.55,                                                                                            ,0,2,All,2M,Simbad,130.0153,19.916532999999998
38,KW564  ,211985566,0.55,15.29,11.72,17.68,0.8499,0,Y,0.00745,       ,       , ,N,N,N,    ,0.03911,1.87898,2,16.79,     ,     ,     ,14.99,                                                                                            ,0,2,All,2M,Simbad,129.81054,20.022005
39,KW 30  ,211995288,1.04,11.23,9.8,7.8,0.6986,0,Y,0.00772,       ,       , ,N,Y,N,    ,0.01358,0.68313,D,     ,3.91,     ,7.97,11.2,                                                                                            ,2,1,All,2M,Simbad,129.342615,20.177015
40,KW181  ,211949097,1.23,10.13,9.0,3.94,0.3258,0,Y,0.00799,       ,       , ,M,M,Y,conf,0.00867,0.24664,K,     ,     ,     ,4.14,10.35,peak splitting; only one detected                                                           ,1,1,All,2M,Simbad,129.854089,19.459354
41,JS390  ,211980574,0.36,16.61,12.4,25.92,0.7374,0,Y,0.00899,       ,       , ,N,Y,N,cand,0.02758,1.27515,2,     ,     ,     ,     ,15.67,                                                                                            ,1,2,All,2M,Simbad,130.216075,19.94177
42,AD 2759,211999969,0.41,16.02,12.19,24.24,0.5535,0,Y,0.0085,       ,       , ,N,N,N,    ,0.01953,0.85212,2,     ,     ,     ,     ,15.35,                                                                                            ,0,2,All,2M,Simbad,130.11072099999998,20.253693
43,KW571  ,211985987,0.54,15.25,11.76,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,     ,     ,     ,     ,14.79,                                                                                            ,0,2,All,2M,Simbad,129.923975,20.028256
44,KW217  ,211939206,1.23,9.89,9.01,3.14,0.4924,1,Y,0.01013,       ,       , ,M,Y,Y,    ,0.00837,0.31412,K,     ,     ,     ,3.23,10.14,evidence for beating and/or phase drift                                                     ,1,1,All,2M,Simbad,129.968081,19.312641
45,KW478  ,211956984,1.39,9.58,8.63,0.48,0.0788,0,N,0.00842,       ,       , ,Y,N,Y,    ,0.0012,0.01562,2,     ,     ,     ,     ,9.63,complex peaks                                                                               ,1,1,All,2M,Simbad,130.68506200000002,19.579959
46,KW 23  ,211971690,1.05,11.11,9.69,8.26,0.6331,0,Y,0.00868,       ,       , ,N,Y,N,    ,0.00733,0.31229,D,     ,8.84,     ,8.06,11.14,                                                                                            ,2,1,All,2M,Simbad,129.297851,19.803687
47,HSHJ303,211987847,0.4,16.47,12.25,0.84,0.6257,0,Y,0.00843,       ,       , ,N,Y,N,    ,0.02344,0.9628,S,     ,     ,0.84,     ,16.21,                                                                                            ,0,2,All,2M,Simbad,130.0546,20.057814
48,KW418  ,211998346,1.2,10.32,9.14,5.51,0.402,0,Y,0.00859,       ,       , ,N,Y,N,    ,0.00844,0.25709,K,     ,     ,     ,5.63,10.35,                                                                                            ,1,1,All,2M,Simbad,130.432573,20.226865
49,KW421  ,211936168,1.24,10.03,8.93,4.9,0.166,0,N,0.00884,       ,       , ,Y,Y,N,    ,0.00333,0.08116,2,     ,     ,     ,     ,10.07,complex peaks                                                                               ,1,1,All,2M,Simbad,130.439555,19.267289
