K2 ID,Dataset Name,Campaign,Object type,Data Release,RA (J2000),Dec (J2000),Target Type,Archive Class,Ref,Actual Start Time,Actual End Time,Investigation ID,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Processing Date,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,High-Level Science Products
integer,string,integer,substring,string,ra,dec,ustring,string,integer,datetime,datetime,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,integer,string,string,string,string,string,datetime,float,float,float,float,float,float,integer,integer,integer,float,string,integer
211700306,KTWO211700306-C05,5,STAR,7,08 36 14.530,+15 55 11.64,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5048_GO5095,-46.200,5.300,-17.300,5.000,,,,,,,,,,,,,,,,,13.296,0.023,12.712,0.025,12.476,0.024,15.421,JHK,,,,530-047878,08361453+1555115,,2015-10-30 05:41:59,1.000,0.000,0.701,478.855,397.074,363.471,13,4,44,,,14
211707676,KTWO211707676-C05,5,STAR,7,08 40 54.433,+16 01 00.79,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,15.339,0.050,14.844,0.068,14.315,0.051,16.786,J,,,,,08405443+1601007,,2015-10-30 08:09:09,1.000,0.000,0.657,4390.535,3191.466,2498.013,13,3,43,,,22
211707676,KTWO211707676-C16,16,STAR,23,08 40 54.433,+16 01 00.79,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16012_GO16018_GO16022_GO16060,,,,,,,,,,,,,,,,,,,,,15.339,0.050,14.844,0.068,14.315,0.051,16.786,J,,,,,08405443+1601007,,2018-05-24 15:57:44,1.000,0.000,0.853,,,,9,1,25,,,22
211708110,KTWO211708110-C05,5,STAR,7,08 36 37.346,+16 01 20.50,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,22.947,0.293,,,,,20.592,0.023,19.063,0.011,17.266,0.006,16.381,0.008,14.791,0.036,14.224,0.032,13.877,0.047,18.264,gri,,,5080-301-3-0105-0396,,08363734+1601205,,2015-10-30 06:13:17,0.852,0.148,0.613,3736.171,2916.853,2269.326,13,4,44,,,14
211725787,KTWO211725787-C05,5,STAR,7,08 33 11.686,+16 15 51.41,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048_GO5095,-34.000,5.000,-9.000,5.000,,,23.035,0.395,,,,,21.022,0.032,19.520,0.015,17.749,0.008,16.761,0.011,15.219,0.053,14.604,0.057,14.239,0.065,18.731,gri,,,5112-301-4-0125-0360,,08331168+1615514,,2015-10-30 06:52:20,0.771,0.229,0.788,6103.016,4680.292,3847.266,18,2,62,,,14
211727975,KTWO211727975-C05,5,STAR,7,08 39 58.626,+16 17 46.40,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048,,,,,,,,,,,,,,,,,,,,,15.036,0.037,14.402,0.044,14.184,0.059,17.268,JHK,,,,,08395862+1617464,,2015-10-30 09:16:11,1.000,0.000,0.738,4070.057,3184.092,2631.813,13,4,44,,,22
211727975,KTWO211727975-C16,16,STAR,23,08 39 58.626,+16 17 46.40,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16060,,,,,,,,,,,,,,,,,,,,,15.036,0.037,14.402,0.044,14.184,0.059,17.268,JHK,,,,,08395862+1617464,,2018-05-24 15:11:45,1.000,0.000,0.772,,,,9,1,25,,,22
211729756,KTWO211729756-C05,5,STAR,7,08 30 35.165,+16 19 17.55,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5006_GO5011_GO5018_GO5024_GO5026_GO5048_GO5095_GO5097,-34.900,6.400,4.900,6.300,,,,,,,,,,,,,,,,,13.350,0.024,12.777,0.022,12.535,0.027,15.458,JHK,,,,532-046109,08303516+1619173,,2015-10-30 05:28:26,1.000,0.000,0.722,1236.192,1052.757,928.078,18,2,62,,,14
211734093,KTWO211734093-C05,5,STAR,7,08 36 32.562,+16 23 02.37,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5020_GO5024_GO5048_GO5054_GO5060_GO5095,-32.000,3.400,-5.900,3.600,,,,,16.839,0.090,15.369,0.050,16.152,0.040,14.790,0.050,14.001,0.020,,,12.347,0.021,11.698,0.022,11.508,0.020,14.646,gri,,,5080-301-4-0105-0207,532-046442,08363256+1623024,,2015-10-30 08:49:15,1.000,0.000,0.793,273.936,245.091,220.172,13,4,44,,,14
211738707,KTWO211738707-C05,5,STAR,7,08 49 20.377,+16 26 54.39,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,14.487,0.028,13.895,0.029,13.625,0.033,16.751,JHK,,,,,08492037+1626543,,2015-10-30 08:45:46,1.000,0.000,0.747,1724.981,1300.161,1002.091,8,1,21,,,14
211745306,KTWO211745306-C05,5,STAR,7,08 44 11.724,+16 32 32.50,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,14.424,0.027,13.829,0.035,13.618,0.030,16.501,JHK,,,,,08441172+1632324,,2015-10-30 04:49:25,1.000,0.000,0.665,1855.621,1543.245,1228.105,13,3,43,,,22
211745306,KTWO211745306-C16,16,STAR,23,08 44 11.724,+16 32 32.50,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16060,,,,,,,,,,,,,,,,,,,,,14.424,0.027,13.829,0.035,13.618,0.030,16.501,JHK,,,,,08441172+1632324,,2018-05-24 16:10:21,1.000,0.000,0.782,,,,9,2,26,,,22
211748286,KTWO211748286-C05,5,STAR,7,08 31 07.594,+16 35 04.10,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095_GO5097,,,,,,,,,,,,,,,,,,,,,13.540,0.024,12.858,0.033,12.620,0.023,15.971,JHK,,,,,08310759+1635041,,2015-10-30 07:25:12,1.000,0.000,0.795,1400.765,1201.764,993.821,18,2,62,,,14
211771406,KTWO211771406-C05,5,STAR,7,08 45 34.294,+16 54 39.65,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,-39.000,4.000,-10.000,4.000,,,23.058,0.382,,,,,20.523,0.022,19.064,0.011,17.420,0.006,16.496,0.009,14.928,0.042,14.312,0.057,14.163,0.054,18.351,gri,,,5080-301-3-0120-0337,,08453429+1654396,,2015-10-30 06:42:47,0.880,0.120,0.588,3176.220,2605.770,2120.198,13,2,42,,,14
211773459,KTWO211773459-C05,5,STAR,7,08 48 32.710,+16 56 23.62,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5006_GO5011_GO5018_GO5020_GO5024_GO5048_GO5054_GO5060_GO5095,-34.800,2.500,-9.700,2.600,,,,,17.240,0.106,15.759,0.110,16.527,0.040,15.225,0.030,14.300,0.060,,,12.328,0.023,11.703,0.021,11.468,0.021,14.968,gri,,,,535-048307,08483271+1656236,,2015-10-30 05:37:45,1.000,0.000,0.911,707.177,686.480,664.725,8,2,22,,,14
211776073,KTWO211776073-C05,5,STAR,7,08 38 24.871,+16 58 36.33,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5006_GO5011_GO5018_GO5024_GO5032_GO5048_GO5095_GO5097,-36.500,4.300,-6.600,4.200,,,,,,,,,,,,,,,,,13.224,0.023,12.604,0.022,12.347,0.023,15.535,JHK,,,,535-047844,08382489+1658360,,2015-10-30 05:32:50,1.000,0.000,0.605,680.526,582.527,475.928,13,1,41,,,14
