angDist,col1,Name,EPIC,Mass,r'mag,Kmag,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,ProtA,ProtD,ProtS,ProtK,Kpmag,Notes,PrCat,PCat,All,2M,Simbad,RAJ2000,DEJ2000,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
0.474290,0,KW547,211898181,1.05,11.65,9.7,,,2,,,,,,,,,conf,,,,,,,,11.68,,0,0,All,2M,Simbad,130.157851,18.700121,130441301576580520,130.157739320, 18.700042470,0.279,0.228,0,604299264,72,56012.680081020,5,60,12.2810,,,,65636,11.6630,,,,32868,11.4390,,,,114788,11.3330,,,,114788,11.2670,,,,114788
0.535294,0,KW547,211898181,1.05,11.65,9.7,,,2,,,,,,,,,conf,,,,,,,,11.68,,0,0,All,2M,Simbad,130.157851,18.700121,130441301580320722,130.157991390, 18.700187530,0.050,0.050,90,268959744,32,55586.906678240,0,4,,,,,0,12.5470,0.0385,12.7150,0.2677,24,12.4291,0.1511,12.7321,0.0753,24,,,,,0,,,,,0
1.909447,0,KW547,211898181,1.05,11.65,9.7,,,2,,,,,,,,,conf,,,,,,,,11.68,,0,0,All,2M,Simbad,130.157851,18.700121,130441301574340287,130.157419480, 18.699782980,0.099,0.099,90,302067712,36,57006.477916670,0,4,,,,,0,,,,,0,12.3445,0.0010,12.0073,0.0010,16778264,,,,,0,,,,,0
0.202265,1,A 448,211845572,0.15,18.59,14.57,,,2,,,,,,,,,,,,,,,,,17.36,optical image is extended,0,0,All,2M,Simbad,129.143078,17.957611,129541291430199675,129.143019180, 17.957616080,0.008,0.005,90,512024576,61,56142.057905090,5,55,19.1017,0.0268,18.5581,0.0331,16892216,18.2420,0.0119,17.5871,0.0228,16892216,17.5380,0.0254,17.0436,0.0093,16892216,17.4864,0.0368,16.8246,0.0101,16892216,17.5112,0.0497,16.7192,0.0300,16892216
0.116455,2,KW548,212004731,0.8,11.81,10.59,3.96,0.1085,0,N,0.00838,,,,M,Y,Y,conf,0.00157,0.02363,2,,,,,11.79,peak splitting; only one detected,0,0,All,2M,Simbad,130.815494,20.333748,132401308154731099,130.815463140, 20.333733540,0.057,0.041,0,1141170176,136,55450.980833330,2,63,12.3280,,,,16484,12.0050,,,,100,11.8780,,,,100,11.8120,,,,114788,11.7840,,,,32868
0.938117,2,KW548,212004731,0.8,11.81,10.59,3.96,0.1085,0,N,0.00838,,,,M,Y,Y,conf,0.00157,0.02363,2,,,,,11.79,peak splitting; only one detected,0,0,All,2M,Simbad,130.815494,20.333748,132401308153250800,130.815349690, 20.333525300,0.049,0.049,90,268513280,32,55958.543993060,0,3,14.3131,0.0016,13.7842,0.0017,16777240,,,,,0,12.3233,0.0549,13.6222,0.0095,16,,,,,0,,,,,0
1.224868,2,KW548,212004731,0.8,11.81,10.59,3.96,0.1085,0,N,0.00838,,,,M,Y,Y,conf,0.00157,0.02363,2,,,,,11.79,peak splitting; only one detected,0,0,All,2M,Simbad,130.815494,20.333748,132401308158330763,130.815854510, 20.333786600,0.037,0.037,90,268513280,32,55588.550787040,0,4,,,,,0,13.0274,0.0047,16.6192,0.0054,4120,,,13.9447,0.0020,24,,,,,0,,,,,0
1.739055,2,KW548,212004731,0.8,11.81,10.59,3.96,0.1085,0,N,0.00838,,,,M,Y,Y,conf,0.00157,0.02363,2,,,,,11.79,peak splitting; only one detected,0,0,All,2M,Simbad,130.815494,20.333748,132401308151501423,130.815088790, 20.334046310,0.016,0.016,90,847327232,101,56129.267245370,1,3,,,,,16416,14.3193,0.0015,13.9515,0.0020,16793656,13.7481,0.0010,13.5431,0.0015,16892984,,,,,16416,,,,,16416
1.985328,2,KW548,212004731,0.8,11.81,10.59,3.96,0.1085,0,N,0.00838,,,,M,Y,Y,conf,0.00157,0.02363,2,,,,,11.79,peak splitting; only one detected,0,0,All,2M,Simbad,130.815494,20.333748,132401308156191648,130.815712470, 20.334260020,0.693,0.120,90,268509184,32,55282.736655090,0,11,,,,,0,16.0240,0.0790,12.8261,0.0010,24,13.1063,0.0767,12.8326,0.0891,16777240,,,,,0,,,,,0
0.530610,3,JC201,211930461,0.73,13.49,10.76,14.59,0.8391,0,Y,0.00816,,,,N,Y,Y,conf,0.00934,0.38429,2,,,,,13.49,binary barely resolved in SDSS,0,1,All,2M,Simbad,130.088905,19.181773,131011300887868665,130.088749620, 19.181759300,0.037,0.034,0,444915712,53,55996.228865740,5,76,15.0708,0.0106,14.7765,0.0067,16892216,13.2290,,,,114724,12.8900,,,,114724,12.7130,,,,114724,13.0705,0.0022,13.0235,0.0094,16892216
