,outlier,color,EPIC
29,0.7368174807915459,r_i,211700306
1,0.14866068747318506,g_r,211700306
38,0.1414213562373095,r_i,211700306
7,0.9353608929178084,g_r,211700306
37,0.15620499351813305,r_i,211700306
21,0.3257299494980466,g_r,211700306
33,0.3257299494980466,r_i,211700306
15,0.7368174807915459,g_r,211700306
31,1.4920120642943877,r_i,211707676
3,1.7942407865166814,g_r,211707676
6,1.7000000000000002,g_r,211707676
43,2.9000000000000004,J_K,211708110
17,2.869041651841256,g_r,211708110
44,2.842534080710379,J_K,211708110
2,2.9323199006929648,g_r,211708110
35,2.804942067137929,r_i,211708110
12,3.3814789663695968,g_r,211725787
19,3.2215524208058453,g_r,211725787
36,3.358362696314977,r_i,211725787
9,4.070110563608806,g_r,211727975
25,4.851236955663988,r_i,211727975
34,5.285120623032174,r_i,211729756
11,5.791200221025,g_r,211729756
4,5.077450147465753,g_r,211729756
16,6.513877493474988,g_r,211734093
18,6.718429876094563,g_r,211734093
30,7.681054615090301,r_i,211738707
22,7.1151950078687225,g_r,211738707
14,7.316126024064922,g_r,211738707
8,7.118567271579303,g_r,211738707
32,8.910667763978186,r_i,211745306
24,9.770327527775107,r_i,211748286
20,9.272842067025618,g_r,211748286
27,9.341932348288546,r_i,211748286
40,9.683491106000977,J_K,211748286
41,9.09065454189081,J_K,211748286
26,10.476067964651623,r_i,211771406
10,12.62198874979692,g_r,211776073
23,12.843850668705239,r_i,211776073
39,12.034118164618464,J_K,211776073
13,13.407300250236807,g_r,211778044
42,13.35440002396214,J_K,211778044
28,14.758915949350753,r_i,211781289
5,22.52502830186901,g_r,211795614
0,36.03928550901085,g_r,211820823
