,Unnamed: 0,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster
0,0,-0.0056347498595502,0.0612953391901101,-105.67075326744437,194.92734473140663,830,833,833,833
1,1,0.0458227735778933,0.04086354176979512,86.43214162263178,18.459363470990027,863,865,863,865
2,2,0.04938292156063676,0.06129514105123235,130.9011845231242,38.33551708047461,1106,1109,1106,1109
3,3,0.0609088779978732,0.06129513569612755,117.54693989712759,29.451587094602388,1115,1118,1115,1118
4,4,0.024765320547361032,0.040863185065973084,56.11357214975492,12.406421978022875,1603,1605,1603,1605
5,5,0.061768432924701834,0.06129490496095968,94.67722521471019,20.11246558415144,1711,1714,1711,1714
6,6,0.016454766921460518,0.04086327589902794,40.932714150700285,9.645730819538096,2232,2234,2232,2234
7,7,0.024045929304872232,0.0408633822662523,63.36312332987126,13.937975148546867,2274,2276,2274,2276
8,8,0.08218156183512286,0.0408632651597145,228.24267321122292,49.86922631867801,2604,2606,2604,2606
9,9,0.0909558821472428,0.04086381755041657,234.40713053398883,50.498803725338576,3321,3323,3321,3323
