Object ID 	 Date of Run 	 Number of Flares 	 Filename 	 Total Exposure Time of LC in Days 	 BJD-2454833 days 
211392354	2018-05-13 09:29:24.798039	1	hlsp_everest_k2_llc_211392354-c05_kepler_v2.0_lc.fits	68.1263888888889	2306.6110311451193
211392234	2018-05-13 09:35:08.244850	0	hlsp_everest_k2_llc_211392234-c05_kepler_v2.0_lc.fits	68.1263888888889	2306.61103179332
211396893	2018-05-13 09:41:00.230642	0	hlsp_everest_k2_llc_211396893-c05_kepler_v2.0_lc.fits	68.1263888888889	2306.611031042208
211392354	2018-05-13 09:46:47.165505	0	hlsp_k2sc_k2_llc_211392354-c05_kepler_v2_lc.fits	64.88944444444445	2306.631463470949
211389537	2018-05-13 09:46:50.753532	1	hlsp_everest_k2_llc_211389537-c05_kepler_v2.0_lc.fits	68.1263888888889	2306.61103263477
211392234	2018-05-13 09:46:51.087792	0	hlsp_k2sc_k2_llc_211392234-c05_kepler_v2_lc.fits	64.7388888888889	2306.631464119615
211396893	2018-05-13 09:46:56.079795	0	hlsp_k2sc_k2_llc_211396893-c05_kepler_v2_lc.fits	64.75770833333334	2306.631463367572
211389537	2018-05-13 09:47:01.259679	1	hlsp_k2sc_k2_llc_211389537-c05_kepler_v2_lc.fits	64.7388888888889	2306.631464961065
211396493	2018-05-13 09:47:05.586034	1	hlsp_k2sc_k2_llc_211396493-c05_kepler_v2_lc.fits	64.72006944444445	2306.631464075843
211394534	2018-05-13 09:47:10.638359	0	hlsp_k2sc_k2_llc_211394534-c05_kepler_v2_lc.fits	64.88944444444445	2306.6314659263808
211391621	2018-05-13 09:47:15.549075	0	hlsp_k2sc_k2_llc_211391621-c05_kepler_v2_lc.fits	64.88944444444445	2306.631468325002
211394644	2018-05-13 09:47:20.704405	0	hlsp_k2sc_k2_llc_211394644-c05_kepler_v2_lc.fits	64.45659722222223	2306.6314677527043
211396316	2018-05-13 09:47:25.576786	2	hlsp_k2sc_k2_llc_211396316-c05_kepler_v2_lc.fits	64.83298611111113	2306.631467886349
211394607	2018-05-13 09:47:33.105192	0	hlsp_k2sc_k2_llc_211394607-c05_kepler_v2_lc.fits	64.24958333333333	2306.6314691450316
211394185	2018-05-13 09:47:38.403931	0	hlsp_k2sc_k2_llc_211394185-c05_kepler_v2_lc.fits	64.55069444444445	2306.631471390916
211396025	2018-05-13 09:47:43.484217	2	hlsp_k2sc_k2_llc_211396025-c05_kepler_v2_lc.fits	64.5695138888889	2306.6314717587884
211394056	2018-05-13 09:47:48.391728	1	hlsp_k2sc_k2_llc_211394056-c05_kepler_v2_lc.fits	64.19312500000001	2306.6314727101344
211396155	2018-05-13 09:47:53.565635	0	hlsp_k2sc_k2_llc_211396155-c05_kepler_v2_lc.fits	64.72006944444445	2306.6314728828947
211396422	2018-05-13 09:47:58.540632	0	hlsp_k2sc_k2_llc_211396422-c05_kepler_v2_lc.fits	64.7388888888889	2306.6314734249245
211392789	2018-05-13 09:48:03.617524	0	hlsp_k2sc_k2_llc_211392789-c05_kepler_v2_lc.fits	64.62597222222223	2306.631475772323
211393129	2018-05-13 09:48:08.799918	2	hlsp_k2sc_k2_llc_211393129-c05_kepler_v2_lc.fits	64.04256944444444	2306.631477664305
211396493	2018-05-13 09:52:42.505430	0	hlsp_everest_k2_llc_211396493-c05_kepler_v2.0_lc.fits	68.1263888888889	2306.6110317500134
211392354	2018-05-13 09:54:20.776470	0	hlsp_k2sc_k2_llc_211392354-c05_kepler_v2_lc.fits	64.88944444444445	2306.631463470949
211392234	2018-05-13 09:54:23.249885	0	hlsp_k2sc_k2_llc_211392234-c05_kepler_v2_lc.fits	64.7388888888889	2306.631464119615
211396893	2018-05-13 09:54:25.800744	0	hlsp_k2sc_k2_llc_211396893-c05_kepler_v2_lc.fits	64.75770833333334	2306.631463367572
