,EPIC,IDX,Class,Cat,Period,FVI,Std,Stdc,RAJ2000,DEJ2000,N16,H16
2,211389428,      ,M,rot  ,28.722914000000003,2.32,4.994,4.507,132.742179,11.473550999999999,N16,H16
3,211389537,F2743 ,SM,rot  ,26.29862,3.24,2.398,2.281,132.734254,11.475449000000001,N16,H16
5,211389716,S341  ,SM,rot  ,29.035177,2.68,0.35,0.325,132.496687,11.478209,N16,H16
8,211389931,      ,M,mult ,20.169975,1.79,3.7510000000000003,3.114,132.54853300000002,11.481864,N16,H16
12,211390071,      ,M,rot  ,12.662815,2.73,6.067,5.647,133.117228,11.48442,N16,H16
14,211390107,S1573 ,SM,rot  ,33.39141,2.66,0.746,0.691,133.128158,11.484909,N16,H16
15,211390158,S343  ,M,mult ,12.203753,2.56,0.401,0.369,132.43413600000002,11.485958,N16,H16
21,211390800,S1784 ,SM,rot  ,20.008078,2.5,0.273,0.25,133.288341,11.496658,N16,H16
24,211391125,F2112 ,SM,rot  ,31.506247,3.0,1.6980000000000002,1.601,132.632722,11.502091,N16,H16
27,211391208,      ,M,rot  ,25.844179999999998,2.03,8.521,7.421,132.623992,11.503514,N16,H16
28,211391297,      ,M,rot  ,12.231987,4.72,7.643,7.468999999999999,132.665719,11.505111,N16,H16
33,211391564,      ,M,rot  ,28.855915000000003,3.1,14.603,13.825,132.75913799999998,11.509701,N16,H16
35,211391621,F3101 ,SM,rot  ,16.02834,2.63,2.193,2.028,132.78845,11.510675,N16,H16
38,211392113,S1575 ,SM,mult ,12.83671,3.38,0.36,0.344,133.061422,11.518709,N16,H16
39,211392234,S709  ,SM,rot  ,26.096712,2.32,0.535,0.483,132.73006,11.520703,N16,H16
42,211392354,S711  ,BM,mult ,6.463573,8.2,1.18,1.171,132.721068,11.522252,N16,H16
45,211392455,      ,M,rot  ,26.731053999999997,1.61,12.854000000000001,10.08,132.809724,11.523882,N16,H16
48,211392789,S1179 ,BM,rot  ,29.057743,2.19,0.83,0.738,132.89841,11.529765,N16,H16
49,211392837,S1402 ,SM,none ,0.237139,14.85,0.5820000000000001,0.581,133.045694,11.530332000000001,N16,H16
51,211392859,      ,M,rot  ,23.879976,2.79,8.082,7.546,132.643239,11.530636999999999,N16,H16
53,211392899,      ,M,rot  ,30.394615,6.66,10.378,10.261,133.09593999999998,11.53128,N16,H16
55,211393067,      ,M,rot  ,4.859179,20.5,25.11,25.08,133.085527,11.534125999999999,N16,H16
56,211393129,S1181 ,SM,rot  ,12.125143,2.59,0.34299999999999997,0.316,132.926501,11.535303,N16,H16
58,211393422,      ,M,rot  ,29.035177,2.43,5.115,4.662,132.805199,11.540296000000001,N16,H16
59,211394056,S926  ,SM,none ,18.276964000000003,2.58,0.257,0.237,132.858071,11.550008,N16,H16
62,211394185,F3490 ,SM,mult ,24.798588,4.79,2.762,2.701,132.839537,11.552024000000001,N16,H16
66,211394279,      ,M,rot  ,27.763176,2.17,6.4670000000000005,5.7379999999999995,132.763827,11.553339,N16,H16
69,211394397,S1183 ,SM,none ,29.171095,2.5,0.252,0.231,132.958007,11.555136,N16,H16
72,211394534,F2926 ,M,rot  ,31.666346,2.89,1.926,1.807,132.762225,11.557072999999999,N16,H16
73,211394537,S465  ,SM,rot  ,19.079012,2.14,0.516,0.456,132.537562,11.55723,N16,H16
74,211394542,      ,M,rot  ,26.711956,1.96,5.547999999999999,4.77,132.674803,11.557317,N16,H16
75,211394607,S927  ,SM,rot  ,10.289683,2.94,0.41,0.386,132.808517,11.558483,N16,H16
76,211394644,S928  ,SM,rot  ,14.999545000000001,3.02,1.032,0.973,132.788716,11.55916,N16,H16
78,211394919,      ,M,mult ,29.400470000000002,5.84,22.865,22.526999999999997,133.017728,11.563544,N16,H16
81,211395037,S352  ,SM,rot  ,40.652347999999996,2.73,1.2830000000000001,1.194,132.487529,11.565085,N16,H16
84,211395187,      ,M,rot  ,27.35691,1.65,10.187999999999999,8.097999999999999,132.780428,11.567452000000001,N16,H16
85,211395281,      ,M,rot  ,15.606851999999998,2.15,8.781,7.771,133.02080700000002,11.568821,N16,H16
90,211395492,      ,M,rot  ,27.336909999999996,1.7,11.078,8.95,132.614542,11.572469,N16,H16
91,211395555,F4831 ,M,rot  ,24.378206,2.92,2.093,1.9669999999999999,133.03721000000002,11.573469000000001,N16,H16
93,211395606,      ,M,rot  ,26.654829,2.26,3.137,2.8139999999999996,132.909719,11.574363,N16,H16
95,211395620,F2181 ,SM,rot  ,30.553660999999998,3.67,3.259,3.136,132.645012,11.574542,N16,H16
98,211395699,S1184 ,SM,mult ,23.834310000000002,7.46,2.332,2.311,132.897803,11.575582,N16,H16
101,211395891,      ,M,rot  ,29.012648,2.33,4.521,4.084,132.614027,11.578649,N16,H16
103,211395912,      ,M,mult ,25.081383,2.18,9.046,8.04,133.144181,11.578942999999999,N16,H16
107,211395971,S1792 ,SM,mult ,20.468094,3.06,0.294,0.278,133.272292,11.579905,N16,H16
108,211395992,      ,M,rot  ,36.169304,2.29,4.791,4.309,132.462868,11.580241000000001,N16,H16
109,211396025,S929  ,BM,rot  ,26.169773,2.24,0.48700000000000004,0.435,132.849821,11.580652,N16,H16
110,211396155,S931  ,SM,rot  ,26.07603,2.68,1.014,0.941,132.866268,11.582578999999999,N16,H16
111,211396156,S719  ,M,mult ,13.047238,3.27,1.974,1.88,132.73947900000002,11.582619000000001,N16,H16
121,211396385,S721  ,BM,none ,0.823667,10.05,0.474,0.47200000000000003,132.70686899999998,11.585815,N16,H16
123,211396422,S1186 ,SM,mult ,33.213440000000006,2.65,0.264,0.244,132.87471599999998,11.586427,N16,H16
124,211396493,S722  ,SM,mult ,34.37373,3.62,0.782,0.7509999999999999,132.741072,11.587439999999999,N16,H16
126,211396551,S935  ,SM,mult ,24.732971,4.7,4.003,3.911,132.828559,11.588225,N16,H16
127,211396570,      ,M,mult ,14.892010999999998,3.04,4.167,3.935,132.728173,11.588574000000001,N16,H16
128,211396661,      ,M,none ,21.232597,2.95,9.207,8.662,133.075302,11.589812,N16,H16
134,211396846,S1406 ,SM,rot  ,18.161554000000002,2.25,0.494,0.44299999999999995,132.980207,11.59264,N16,H16
135,211396891,      ,M,rot  ,28.245554,2.3,4.523,4.074,132.40905800000002,11.593155,N16,H16
136,211396893,S723  ,SM,rot  ,27.099155,3.51,0.895,0.858,132.731962,11.593181,N16,H16
138,211397013,      ,M,rot  ,26.07851,2.05,3.86,3.37,132.53878600000002,11.595008,N16,H16
141,211397127,S937  ,SM,mult ,27.991806,19.93,4.803999999999999,4.798,132.779706,11.596836,N16,H16
142,211397319,S724  ,SM,rot  ,24.425982,2.75,0.7859999999999999,0.732,132.777248,11.59971,N16,H16
145,211397501,      ,M,rot  ,12.423001,4.19,4.5969999999999995,4.4639999999999995,132.834703,11.602608,N16,H16
146,211397512,M5862 ,SM,rot  ,16.612288,3.22,2.5660000000000003,2.438,132.877289,11.602786,N16,H16
148,211397558,S1189 ,SM,mult ,11.082663,3.4,0.474,0.45299999999999996,132.883994,11.603473,N16,H16
150,211397833,      ,M,mult ,21.271563,3.48,6.379,6.11,133.146143,11.607479,N16,H16
151,211397837,      ,M,rot  ,7.493391,5.24,14.354000000000001,14.091,132.449329,11.607522,N16,H16
152,211397877,S1191 ,SM,mult ,29.102978000000004,2.53,0.588,0.54,132.929457,11.608008,N16,H16
153,211397955,      ,M,rot  ,14.516207000000001,3.06,3.508,3.315,133.080397,11.609539999999999,N16,H16
154,211398025,S1698 ,SM,rot  ,14.5501,5.18,2.4,2.355,133.181175,11.610515,N16,H16
159,211398194,      ,M,rot  ,12.410631,2.05,2.673,2.332,133.092646,11.613023,N16,H16
160,211398233,      ,M,mult ,32.605216999999996,4.11,4.664,4.523,132.927479,11.613699,N16,H16
162,211398269,S1193 ,SM,mult ,33.601463,4.59,1.4869999999999999,1.4509999999999998,132.90424,11.614341,N16,H16
163,211398314,S939  ,BM,rot  ,26.114939,3.07,0.457,0.43200000000000005,132.780912,11.614871,N16,H16
165,211398504,S1195 ,BM,mult ,1.455111,3.64,0.301,0.289,132.907059,11.617786,N16,H16
167,211398541,M5052 ,SM,rot  ,27.949957,2.57,2.294,2.113,132.65045700000002,11.618336,N16,H16
168,211398612,      ,M,rot  ,28.8782,3.16,4.974,4.718,132.584529,11.619616,N16,H16
171,211398707,      ,M,rot  ,24.455341,3.37,8.612,8.225,133.30199,11.621081,N16,H16
172,211398747,S593  ,SM,rot  ,24.235989,2.67,1.097,1.0170000000000001,132.595827,11.621687,N16,H16
177,211399087,S594  ,BM,rot  ,21.393269,3.34,1.485,1.4169999999999998,132.649178,11.626759,N16,H16
180,211399458,F5060 ,SM,mult ,16.035215,2.36,2.028,1.838,133.07896000000002,11.632257000000001,N16,H16
181,211399481,S1197 ,SM,mult ,25.199709,4.41,0.57,0.555,132.893529,11.632610000000001,N16,H16
185,211399673,S728  ,SM,none ,0.99905,2.98,0.667,0.629,132.735525,11.635607,N16,H16
187,211399695,S595  ,SM,rot  ,20.64895,2.27,0.42,0.377,132.620892,11.635911,N16,H16
189,211399742,      ,M,rot  ,17.34436,1.61,9.949,7.801,132.592577,11.636567,N16,H16
190,211399819,S941  ,SM,rot  ,26.280136,2.06,0.9359999999999999,0.818,132.855062,11.637830000000001,N16,H16
191,211400002,S942  ,BM,rot  ,21.27156,2.73,0.76,0.7070000000000001,132.783411,11.640555,N16,H16
192,211400061,      ,M,mult ,15.306566,2.2,2.061,1.835,133.07251399999998,11.6414,N16,H16
194,211400106,S943  ,BM,rot  ,32.977497,2.41,0.8959999999999999,0.816,132.869216,11.64209,N16,H16
196,211400215,S944  ,SM,rot  ,27.538248,2.43,0.425,0.387,132.86033899999998,11.643578,N16,H16
197,211400290,      ,M,mult ,13.369133999999999,2.81,3.451,3.2239999999999998,133.18601999999998,11.644805999999999,N16,H16
198,211400302,S469  ,SM,none ,7.476908,2.86,0.823,0.7709999999999999,132.539986,11.644976,N16,H16
202,211400500,S945  ,SM,rot  ,25.879955,3.65,1.119,1.0759999999999998,132.84945,11.647812,N16,H16
204,211400563,S1201 ,BM,mult ,15.072102,2.63,0.517,0.478,132.90065900000002,11.648973,N16,H16
206,211400616,S1202 ,SM,mult ,16.365076000000002,2.39,0.391,0.355,132.937205,11.6497,N16,H16
207,211400620,      ,M,none ,16.791334,2.15,4.853,4.294,132.51791,11.649761,N16,H16
208,211400662,      ,M,rot  ,13.465426,3.63,7.377000000000001,7.091,133.092902,11.650312,N16,H16
212,211400944,S947  ,SM,mult ,13.839223,2.63,0.9570000000000001,0.8859999999999999,132.846625,11.654119999999999,N16,H16
214,211400999,      ,M,none ,35.57387,1.74,7.376,6.041,133.269312,11.655006,N16,H16
215,211401055,F5333 ,SM,mult ,23.041183,3.25,2.725,2.593,133.138546,11.655887,N16,H16
218,211401251,      ,M,mult ,33.936943,2.76,16.267,15.165,132.465567,11.658708,N16,H16
219,211401265,      ,M,rot  ,24.314792999999998,2.97,4.43,4.172,132.898337,11.658947999999999,N16,H16
223,211401366,S949  ,M,mult ,28.78926,4.54,2.9610000000000003,2.888,132.805777,11.660428999999999,N16,H16
226,211401403,S950  ,SM,rot  ,21.332241,2.09,0.354,0.311,132.836633,11.661146,N16,H16
229,211401610,S731  ,SM,mult ,26.024057,4.54,0.542,0.529,132.748858,11.664585,N16,H16
231,211401683,S598  ,SM,mult ,19.446154,2.64,0.245,0.22699999999999998,132.643283,11.665746,N16,H16
234,211401872,S243  ,BM,mult ,26.428741,3.66,1.807,1.739,132.370258,11.668934,N16,H16
239,211402436,S1808 ,BM,rot  ,33.361614,4.24,0.4,0.389,133.248515,11.678151,N16,H16
242,211402663,S471  ,SM,mult ,15.445672,5.02,0.877,0.8590000000000001,132.59006399999998,11.682061000000001,N16,H16
244,211402784,      ,M,rot  ,22.256617000000002,2.25,7.112,6.369,133.239908,11.683971000000001,N16,H16
249,211403248,S1585 ,SM,mult ,24.506027,9.59,0.804,0.799,133.10970600000002,11.691019,N16,H16
250,211403356,S364  ,SM,mult ,20.879568,57.03,1.13,1.13,132.486754,11.692478999999999,N16,H16
252,211403555,S961  ,BM,rot  ,26.07851,3.11,0.307,0.29100000000000004,132.789612,11.695837,N16,H16
254,211403852,      ,M,rot  ,27.991806,2.81,4.565,4.2669999999999995,132.404446,11.700814999999999,N16,H16
255,211403974,S602  ,SM,mult ,27.138493,3.08,0.34,0.322,132.618051,11.702722999999999,N16,H16
256,211403975,S473  ,SM,rot  ,27.991806,3.05,0.7120000000000001,0.6729999999999999,132.503507,11.702728,N16,H16
262,211404310,      ,M,rot  ,12.972404,2.79,3.762,3.511,133.160798,11.707605000000001,N16,H16
264,211404466,      ,M,mult ,0.24413200000000002,2.31,5.888999999999999,5.31,132.594397,11.709819,N16,H16
266,211404488,      ,M,rot  ,12.938879,3.45,7.635,7.307,133.222128,11.710197,N16,H16
269,211404735,S1587 ,SM,none ,12.749169,2.81,0.632,0.591,133.126163,11.714008999999999,N16,H16
270,211404773,S476  ,SM,rot  ,16.042092999999998,2.0,0.843,0.731,132.550627,11.71471,N16,H16
275,211405094,S368  ,SM,mult ,26.990790000000004,5.83,0.5589999999999999,0.551,132.428707,11.719106,N16,H16
277,211405388,S1589 ,SM,none ,34.88689,3.63,0.355,0.341,133.07787,11.723500999999999,N16,H16
280,211405671,      ,M,rot  ,25.538979,3.63,8.107999999999999,7.794,133.195211,11.727768,N16,H16
284,211406144,S247  ,BM,none ,13.53856,4.78,0.297,0.29100000000000004,132.35380700000002,11.734908,N16,H16
286,211406540,S1592 ,SM,none ,2.283823,22.04,0.6709999999999999,0.6709999999999999,133.07738799999998,11.74066,N16,H16
287,211406562,      ,M,rot  ,15.262829,2.75,3.489,3.2489999999999997,133.171795,11.740973,N16,H16
288,211406596,S478  ,SM,rot  ,26.522476,3.11,1.27,1.202,132.561039,11.741568,N16,H16
298,211407277,      ,M,rot  ,24.618975,2.5,8.324,7.627999999999999,132.42996599999998,11.752383,N16,H16
303,211407572,S1595 ,SM,none ,16.315092,2.38,0.41700000000000004,0.37799999999999995,133.137844,11.756677999999999,N16,H16
304,211407836,S1438 ,SM,none ,42.404297,2.82,0.3,0.28,133.047291,11.760538,N16,H16
307,211408015,S756  ,SM,none ,11.984976,2.82,0.263,0.24600000000000002,132.763573,11.763167999999999,N16,H16
309,211408116,S984  ,SM,mult ,29.400470000000002,10.22,0.7859999999999999,0.782,132.83843000000002,11.764649,N16,H16
310,211408138,S986  ,BM,EB   ,5.17314,21.91,2.1430000000000002,2.141,132.824965,11.765055,N16,H16
311,211408169,      ,M,rot  ,12.077889,2.11,5.816,5.12,132.555372,11.765663,N16,H16
314,211408522,S2204 ,SM,mult ,25.73744,9.59,1.081,1.075,132.83572,11.771214,N16,H16
315,211408750,S610  ,SM,mult ,34.532463,3.55,0.377,0.361,132.641344,11.774239999999999,N16,H16
316,211408858,S1242 ,BM,mult ,6.526756,13.48,1.263,1.26,132.90004199999998,11.775989,N16,H16
318,211408990,S994  ,SM,rot  ,25.131956,3.19,0.413,0.39299999999999996,132.841882,11.778052,N16,H16
319,211409011,S995  ,SM,none ,34.34216,4.0,0.401,0.38799999999999996,132.833844,11.778261,N16,H16
321,211409088,S1245 ,SM,mult ,34.405359999999995,2.4,0.253,0.23,132.93641200000002,11.779442999999999,N16,H16
322,211409099,S1598 ,SM,mult ,35.248665,3.02,0.534,0.504,133.091003,11.779632000000001,N16,H16
324,211409345,S997  ,BM,mult ,7.942202,5.09,0.364,0.35700000000000004,132.832948,11.783439999999999,N16,H16
325,211409348,S998  ,SM,mult ,26.060333,7.16,0.888,0.88,132.822278,11.783511,N16,H16
326,211409376,S999  ,BM,mult ,10.45074,94.86,8.288,8.287,132.827865,11.784082000000001,N16,H16
