angDist,col1,EPIC,IDX,Class,Cat,Period,FVI,Std,Stdc,RAJ2000,DEJ2000,N16,H16,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
0.280692,2,211389428,,M,rot,28.722914000000003,2.32,4.994,4.507,132.742179,11.473550999999999,N16,H16,121761327421598751,132.742102700, 11.473528910,0.004,0.003,90,503635968,60,55912.748194440,5,62,18.1524,0.0046,18.2608,0.0087,115000,17.0579,0.0035,17.1222,0.0034,115000,16.5692,0.0058,16.6272,0.0029,115000,16.3542,0.0049,16.4319,0.0071,115000,16.2506,0.0045,16.3928,0.0021,115000
0.253543,3,211389537,F2743,SM,rot,26.29862,3.24,2.398,2.281,132.734254,11.475449000000001,N16,H16,121771327342411051,132.734182220, 11.475445570,0.004,0.004,90,503635968,60,55865.655243060,5,69,16.3605,0.0045,16.4280,0.0042,115000,15.6824,0.0011,15.7440,0.0019,115000,15.4300,0.0029,15.4973,0.0029,115000,15.3466,0.0016,15.4008,0.0027,115000,15.2840,0.0065,15.3259,0.0090,115000
0.138627,5,211389716,S341,SM,rot,29.035177,2.68,0.35,0.325,132.496687,11.478209,N16,H16,121771324966744351,132.496650340, 11.478195140,0.010,0.009,90,503635968,60,55864.841134260,5,64,13.3818,0.0027,13.4337,0.0014,115000,13.3240,,,,114724,13.1560,,,,114724,12.9838,0.0094,13.0228,0.0018,115000,12.9429,0.0038,12.9598,0.0026,115000
0.258139,8,211389931,,M,mult,20.169975,1.79,3.7510000000000003,3.114,132.54853300000002,11.481864,N16,H16,121771325485028730,132.548464000, 11.481840140,0.005,0.004,90,503635968,60,55892.216759260,5,74,18.0779,0.0038,18.1665,0.0107,115000,16.9924,0.0028,17.0563,0.0029,115000,16.5230,0.0052,16.5949,0.0051,115000,16.3186,0.0046,16.3807,0.0039,115000,16.1797,0.0042,16.2701,0.0043,115000
1.988088,8,211389931,,M,mult,20.169975,1.79,3.7510000000000003,3.114,132.54853300000002,11.481864,N16,H16,121771325490858801,132.549093750, 11.481918730,0.058,0.058,90,268959744,32,55357.240497690,0,3,21.4955,0.3171,21.1178,0.2951,4120,20.9393,0.0636,20.9391,0.0649,4120,,,,,0,,,,,0,,,,,0
0.089306,12,211390071,,M,rot,12.662815,2.73,6.067,5.647,133.117228,11.48442,N16,H16,121781331172381789,133.117207830, 11.484405010,0.008,0.004,0,503635968,60,56039.770208330,5,88,18.2958,0.0057,18.4049,0.0080,115000,17.1613,0.0026,17.2227,0.0037,115000,16.6625,0.0015,16.7288,0.0041,115000,16.4478,0.0035,16.5097,0.0034,115000,16.2979,0.0082,16.3895,0.0159,115000
0.188710,14,211390107,S1573,SM,rot,33.39141,2.66,0.746,0.691,133.128158,11.484909,N16,H16,121781331281272379,133.128105060, 11.484901500,0.005,0.002,90,503635968,60,55997.542858800,5,77,14.6696,0.0015,14.7242,0.0032,115000,14.2708,0.0011,14.3469,0.0048,115000,14.1499,0.0013,14.2055,0.0013,115000,14.1448,0.0036,14.1892,0.0017,115000,14.1199,0.0017,14.1463,0.0054,115000
0.159093,15,211390158,S343,M,mult,12.203753,2.56,0.401,0.369,132.43413600000002,11.485958,N16,H16,121781324341163648,132.434094810, 11.485940010,0.005,0.005,90,235200512,28,55986.305127310,6,75,13.6645,0.0012,13.7082,0.0011,33080,13.4440,,,,16420,13.3380,,,,98340,13.2849,0.0036,13.3256,0.0020,16696,13.2565,0.0035,13.2669,0.0062,16696
0.204433,21,211390800,S1784,SM,rot,20.008078,2.5,0.273,0.25,133.288341,11.496658,N16,H16,121791332883466652,133.288283200, 11.496653920,0.076,0.027,0,906289152,108,56151.974247690,5,76,13.3520,,,,114724,13.0010,,,,114724,12.8520,,,,114724,12.7700,,,,114724,12.6574,0.0034,12.6655,0.0091,115000
0.188824,24,211391125,F2112,SM,rot,31.506247,3.0,1.6980000000000002,1.601,132.632722,11.502091,N16,H16,121801326327163014,132.632668640, 11.502095130,0.005,0.002,90,503635968,60,55798.820474540,5,72,15.9295,0.0024,15.9831,0.0028,115000,15.3434,0.0017,15.3914,0.0010,115000,15.1351,0.0033,15.1927,0.0045,115000,15.0640,0.0013,15.1191,0.0026,115000,15.0030,0.0033,15.0216,0.0040,115000
0.210362,27,211391208,,M,rot,25.844179999999998,2.03,8.521,7.421,132.623992,11.503514,N16,H16,121801326239874682,132.623940120, 11.503485190,0.022,0.010,90,503635968,60,55612.122673610,5,55,19.1113,0.0062,19.1823,0.0118,115000,17.9016,0.0031,17.9595,0.0049,115000,17.2265,0.0000,17.2987,0.0045,115000,16.9349,0.0058,16.9784,0.0234,115000,16.7626,0.0055,16.8628,0.0140,115000
0.090397,28,211391297,,M,rot,12.231987,4.72,7.643,7.468999999999999,132.665719,11.505111,N16,H16,121801326657626609,132.665713570, 11.505086460,0.008,0.007,0,503635968,60,55850.506944440,10,63,17.6376,0.0073,17.7237,0.0065,115000,16.6248,0.0017,16.6909,0.0025,115000,16.1543,0.0057,16.2032,0.0041,115000,15.9295,0.0021,16.0034,0.0058,115000,15.7977,0.0034,15.8483,0.0110,115000
0.431920,33,211391564,,M,rot,28.855915000000003,3.1,14.603,13.825,132.75913799999998,11.509701,N16,H16,121811327590952191,132.759025160, 11.509747570,0.005,0.002,90,503635968,60,55910.872361110,5,62,19.1401,0.0058,19.1834,0.0163,115000,17.9102,0.0032,17.9821,0.0042,115000,17.2228,0.0028,17.2956,0.0035,115000,16.9186,0.0024,16.9878,0.0083,115000,16.7276,0.0129,16.7897,0.0029,115000
0.066538,35,211391621,F3101,SM,rot,16.02834,2.63,2.193,2.028,132.78845,11.510675,N16,H16,121811327884893318,132.788431150, 11.510675660,0.006,0.005,0,503635968,60,55919.709293980,5,64,16.6798,0.0025,16.7526,0.0022,115000,15.8258,0.0027,15.9051,0.0066,115000,15.4755,0.0019,15.5251,0.0021,115000,15.3243,0.0054,15.3783,0.0044,115000,15.2148,0.0051,15.2576,0.0085,115000
0.189090,38,211392113,S1575,SM,mult,12.83671,3.38,0.36,0.344,133.061422,11.518709,N16,H16,121821330614602931,133.061368690, 11.518703500,0.012,0.010,90,637853696,76,56109.460543980,10,69,13.2620,,,,114724,12.9040,,,,114724,12.7620,,,,98340,12.7010,,,,98340,12.6015,0.0015,12.6110,0.0045,115000
0.146220,39,211392234,S709,SM,rot,26.096712,2.32,0.535,0.483,132.73006,11.520703,N16,H16,121821327301205345,132.730018970, 11.520708780,0.004,0.003,90,503635968,60,56007.015381940,5,69,14.3473,0.0032,14.3946,0.0022,115000,13.9788,0.0027,14.0428,0.0053,115000,13.8751,0.0016,13.9176,0.0008,115000,13.8734,0.0019,13.9171,0.0026,115000,13.8587,0.0045,13.8781,0.0029,115000
0.145662,42,211392354,S711,BM,mult,6.463573,8.2,1.18,1.171,132.721068,11.522252,N16,H16,121821327211117205,132.721026710, 11.522251450,0.005,0.002,90,503635968,60,55971.896840280,5,70,13.5441,0.0010,13.6034,0.0010,115000,13.4720,,,,114724,13.3020,,,,114724,13.1312,0.0049,13.1775,0.0024,115000,13.0971,0.0020,13.1228,0.0038,115000
0.268076,45,211392455,,M,rot,26.731053999999997,1.61,12.854000000000001,10.08,132.809724,11.523882,N16,H16,121821328097059149,132.809653040, 11.523855340,0.005,0.002,90,503635968,60,55912.507858800,5,66,19.8071,0.0134,19.9314,0.0092,115000,18.5461,0.0045,18.6551,0.0068,115000,17.6933,0.0038,17.7739,0.0083,115000,17.3079,0.0034,17.4206,0.0087,115000,17.1287,0.0070,17.2338,0.0223,115000
0.166483,48,211392789,S1179,BM,rot,29.057743,2.19,0.83,0.738,132.89841,11.529765,N16,H16,121831328984156229,132.898362810, 11.529764160,0.002,0.002,90,503635968,60,56044.523634260,5,68,15.2182,0.0028,15.2679,0.0017,115000,14.7437,0.0015,14.8039,0.0023,115000,14.5923,0.0023,14.6348,0.0020,115000,14.5558,0.0049,14.5978,0.0021,115000,14.5040,0.0038,14.5445,0.0066,115000
0.091997,49,211392837,S1402,SM,none,0.237139,14.85,0.5820000000000001,0.581,133.045694,11.530332000000001,N16,H16,121831330456136556,133.045667930, 11.530331260,0.001,0.001,90,268959744,32,56857.052476850,0,18,11.4667,0.0032,12.4173,0.0252,24,10.6492,0.0247,12.8247,0.0254,24,9.2125,0.0154,12.7915,0.0471,24,9.2213,0.2043,11.8047,0.0057,24,10.0983,0.0681,11.6287,0.1125,24
0.851009,49,211392837,S1402,SM,none,0.237139,14.85,0.5820000000000001,0.581,133.045694,11.530332000000001,N16,H16,121831330457796876,133.045801680, 11.530543540,0.015,0.015,90,1409441792,168,55439.287858800,4,59,11.4040,,,,114788,10.6110,,,,114788,10.2880,,,,114788,10.1140,,,,114788,10.0030,,,,68
