Object ID 	 Date of Run 	 Number of Flares 	 Filename 	 Total Exposure Time of LC in Days 	 BJD-2454833 days 
211104755	2018-05-13 09:08:10.944566	7	hlsp_everest_k2_llc_211104755-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.8002056513797
211104755	2018-05-13 09:12:05.841246	7	hlsp_everest_k2_llc_211104755-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.8002056513797
211112392	2018-05-13 09:12:32.686643	4	hlsp_everest_k2_llc_211112392-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.8002188342507
211113061	2018-05-13 09:12:59.146319	1	hlsp_everest_k2_llc_211113061-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.8002241372014
211109428	2018-05-13 09:13:25.948863	4	hlsp_everest_k2_llc_211109428-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.800233280461
211111655	2018-05-13 09:13:52.489575	1	hlsp_everest_k2_llc_211111655-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.800236279785
211110094	2018-05-13 09:14:19.066859	1	hlsp_everest_k2_llc_211110094-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.800238792959
211104312	2018-05-13 09:14:45.650004	20	hlsp_everest_k2_llc_211104312-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.800240009732
211105310	2018-05-13 09:15:12.316732	1	hlsp_everest_k2_llc_211105310-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.8002404642175
211119044	2018-05-13 09:15:39.105210	4	hlsp_everest_k2_llc_211119044-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.8001692906837
211119845	2018-05-13 09:16:06.144150	0	hlsp_everest_k2_llc_211119845-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.8001764865476
211122419	2018-05-13 09:16:32.836949	4	hlsp_everest_k2_llc_211122419-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.800182535022
211117883	2018-05-13 09:16:59.627464	0	hlsp_everest_k2_llc_211117883-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.8001921728137
211104755	2018-05-13 09:17:46.323286	7	hlsp_everest_k2_llc_211104755-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.8002056513797
211112392	2018-05-13 09:18:12.270111	4	hlsp_everest_k2_llc_211112392-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.8002188342507
211113061	2018-05-13 09:18:38.464066	1	hlsp_everest_k2_llc_211113061-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.8002241372014
211109428	2018-05-13 09:19:04.842877	4	hlsp_everest_k2_llc_211109428-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.800233280461
211111655	2018-05-13 09:19:31.238452	1	hlsp_everest_k2_llc_211111655-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.800236279785
211110094	2018-05-13 09:19:57.749373	1	hlsp_everest_k2_llc_211110094-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.800238792959
211104312	2018-05-13 09:20:24.001687	20	hlsp_everest_k2_llc_211104312-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.800240009732
211105310	2018-05-13 09:20:50.080949	1	hlsp_everest_k2_llc_211105310-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.8002404642175
211119044	2018-05-13 09:21:16.476458	4	hlsp_everest_k2_llc_211119044-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.8001692906837
211119845	2018-05-13 09:21:43.427600	0	hlsp_everest_k2_llc_211119845-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.8001764865476
211104755	2018-05-13 09:27:43.442572	7	hlsp_everest_k2_llc_211104755-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.8002056513797
211112392	2018-05-13 09:33:25.474217	4	hlsp_everest_k2_llc_211112392-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.8002188342507
211113061	2018-05-13 09:39:12.455742	1	hlsp_everest_k2_llc_211113061-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.8002241372014
211109428	2018-05-13 09:45:02.476071	4	hlsp_everest_k2_llc_211109428-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.800233280461
211111655	2018-05-13 09:50:54.134281	1	hlsp_everest_k2_llc_211111655-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.800236279785
211104755	2018-05-13 10:17:42.368723	0	hlsp_k2sc_k2_llc_211104755-c04_kepler_v2_lc.fits	61.95361111111112	2228.8002056513797
211112392	2018-05-13 10:22:26.714095	8	hlsp_k2sc_k2_llc_211112392-c04_kepler_v2_lc.fits	61.633680555555564	2228.8002188342507
211104755	2018-05-13 10:26:09.560576	7	hlsp_everest_k2_llc_211104755-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.8002056513797
211113061	2018-05-13 10:27:15.418678	2	hlsp_k2sc_k2_llc_211113061-c04_kepler_v2_lc.fits	61.8595138888889	2228.8002241372014
211109428	2018-05-13 10:31:57.975492	6	hlsp_k2sc_k2_llc_211109428-c04_kepler_v2_lc.fits	61.8595138888889	2228.800233280461
211112392	2018-05-13 10:35:07.665039	4	hlsp_everest_k2_llc_211112392-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.8002188342507
211111655	2018-05-13 10:36:51.471086	0	hlsp_k2sc_k2_llc_211111655-c04_kepler_v2_lc.fits	61.48312500000001	2228.800236279785
211110094	2018-05-13 10:41:30.931310	0	hlsp_k2sc_k2_llc_211110094-c04_kepler_v2_lc.fits	61.690138888888896	2228.800238792959
211113061	2018-05-13 10:44:10.543545	1	hlsp_everest_k2_llc_211113061-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.8002241372014
211104312	2018-05-13 10:46:15.999087	11	hlsp_k2sc_k2_llc_211104312-c04_kepler_v2_lc.fits	61.95361111111112	2228.800240009732
211105310	2018-05-13 10:51:05.058115	0	hlsp_k2sc_k2_llc_211105310-c04_kepler_v2_lc.fits	61.89715277777779	2228.8002404642175
211109428	2018-05-13 10:53:21.611131	4	hlsp_everest_k2_llc_211109428-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.800233280461
211119044	2018-05-13 10:55:54.298294	8	hlsp_k2sc_k2_llc_211119044-c04_kepler_v2_lc.fits	61.03145833333334	2228.8001692906837
211119845	2018-05-13 11:00:46.103688	5	hlsp_k2sc_k2_llc_211119845-c04_kepler_v2_lc.fits	61.558402777777786	2228.8001764865476
211111655	2018-05-13 11:02:19.603733	1	hlsp_everest_k2_llc_211111655-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.800236279785
211122419	2018-05-13 11:05:38.536045	2	hlsp_k2sc_k2_llc_211122419-c04_kepler_v2_lc.fits	61.125555555555565	2228.800182535022
211117883	2018-05-13 11:10:26.350255	0	hlsp_k2sc_k2_llc_211117883-c04_kepler_v2_lc.fits	61.746597222222235	2228.8001921728137
211110094	2018-05-13 11:11:12.216923	1	hlsp_everest_k2_llc_211110094-c04_kepler_v2.0_lc.fits	64.43777777777778	2228.800238792959
211118767	2018-05-13 11:15:12.916403	0	hlsp_k2sc_k2_llc_211118767-c04_kepler_v2_lc.fits	61.97243055555556	2228.8001967865857
