,1
0,106
1,107
2,108
3,140
4,141
5,142
6,143
7,144
8,145
9,146
10,147
11,230
12,231
13,232
14,237
15,238
16,239
17,240
18,402
19,403
20,404
21,405
22,406
23,407
24,544
25,545
26,546
27,601
28,602
29,603
30,604
31,605
32,606
33,607
34,608
35,610
36,611
37,612
38,613
39,638
40,639
41,640
42,641
43,667
44,668
45,669
46,670
47,671
48,672
49,676
50,677
51,678
52,687
53,688
54,689
55,754
56,755
57,756
58,757
59,758
60,779
61,780
62,781
63,782
64,784
65,785
66,786
67,787
68,788
69,789
70,891
71,892
72,893
73,894
74,895
75,896
76,1013
77,1014
78,1015
79,1016
80,1074
81,1075
82,1076
83,1077
84,1127
85,1128
86,1129
87,1130
88,1131
89,1140
90,1141
91,1142
92,1152
93,1153
94,1154
95,1155
96,1156
97,1157
98,1158
99,1159
100,1160
101,1228
102,1229
103,1230
104,1231
105,1240
106,1241
107,1242
108,1243
109,1244
110,1245
111,1286
112,1287
113,1288
114,1289
115,1290
116,1291
117,1292
118,1293
119,1294
120,1295
121,1296
122,1297
123,1298
124,1299
125,1352
126,1353
127,1354
128,1355
129,1487
130,1488
131,1489
132,1490
133,1496
134,1497
135,1498
136,1499
137,1500
138,1502
139,1503
140,1504
141,1505
142,1595
143,1596
144,1597
145,1598
146,1599
147,1633
148,1634
149,1635
150,1636
151,1637
152,1638
153,1719
154,1720
155,1721
156,1722
157,1723
158,1724
159,1725
160,1756
161,1757
162,1758
163,1759
164,1801
165,1802
166,1803
167,1883
168,1884
169,1885
170,1886
171,2003
172,2004
173,2005
174,2006
175,2007
176,2008
177,2009
178,2021
179,2022
180,2023
181,2024
182,2025
183,2026
184,2027
185,2028
186,2029
187,2030
188,2031
189,2076
190,2077
191,2078
192,2079
193,2085
194,2086
195,2087
196,2088
197,2166
198,2167
199,2168
200,2169
201,2170
202,2183
203,2184
204,2185
205,2186
206,2187
207,2340
208,2341
209,2342
210,2366
211,2367
212,2368
213,2369
214,2370
215,2371
216,2372
217,2373
218,2374
219,2375
220,2449
221,2450
222,2451
223,2452
224,2453
225,2461
226,2462
227,2463
228,2464
229,2707
230,2708
231,2709
232,2757
233,2758
234,2759
235,2781
236,2782
237,2783
238,2802
239,2803
240,2804
241,2922
242,2923
243,2924
244,2925
245,2926
246,2927
247,3015
248,3016
249,3017
250,3018
