,EPIC,Name,RAJ2000,DEJ2000,OName,Vmag,Ksmag,(V-K)0,Prot,Per2,Per3,Per4,Amp,LC,Mm,LPer,H10,vsini,PapIII,PapII,f_EPIC,t
0,210991540,033149.84+225024.8,52.95768,22.84023,UGCSJ033149.85+225024.4,     ,12.75,5.1,0.5749,       ,       ,       ,0.059000000000000004,2.0,best,0.57,0.0,     ,1,1.0,,
1,211016313,033207.85+231357.5,53.032740000000004,23.23265,DH017                  ,     ,12.25,5.05,0.3193,       ,       ,       ,0.055999999999999994,1.0,best,     ,0.0,     ,1,1.0,,
2,211029135,033237.80+232559.3,53.15753,23.43315,UGCSJ033237.82+232559.0,     ,13.06,5.76,0.28600000000000003,       ,       ,       ,0.032,4.0,best,     ,0.0,     ,1,1.0,,
3,211037397,033242.30+233400.4,53.17625,23.56679,DH022                  ,     ,12.54,5.58,0.499,0.3167,       ,       ,0.023,1.0,best,     ,0.0,     ,1,1.0,,
4,210946764,033305.82+220803.2,53.274269999999994,22.13423,PELS004                ,11.36,9.43,1.82,5.766,       ,       ,       ,0.011000000000000001,4.0,best,     ,0.0,     ,1,1.0,,
5,211002011,033313.90+230023.2,53.307930000000006,23.00647,PELS123                ,11.98,9.67,2.2,7.6495,6.9112,       ,       ,0.027999999999999997,3.0,best,7.07,1.0,     ,1,1.0,,
6,210997742,033349.79+225620.0,53.457480000000004,22.93891,DH031                  ,     ,13.29,5.21,0.3744,       ,       ,       ,0.037000000000000005,2.0,ok  ,     ,0.0,     ,1,1.0,,
7,210989751,033419.35+224842.4,53.580630000000006,22.8118,DH034                  ,     ,13.93,6.39,0.713,       ,       ,       ,0.033,1.0,best,     ,0.0,     ,1,1.0,,
8,210943453,033454.93+220446.6,53.7289,22.079629999999998,DH040                  ,16.17,11.57,4.49,0.8275,       ,       ,       ,0.021,2.0,best,0.83,1.0,     ,1,1.0,,
9,211051561,033516.25+234758.1,53.81775,23.7995,DH044                  ,     ,13.19,5.81,0.4725,       ,       ,       ,0.038,1.0,best,     ,0.0,     ,1,1.0,,
10,210990525,033531.68+224925.0,53.88203000000001,22.823620000000002,PELS124                ,9.86,8.54,1.21,2.7953,1.4205,3.3298,       ,0.005,1.0,best,     ,0.0,20.5,1,1.0,,
11,210966931,033544.25+222710.0,53.93439,22.452779999999997,DH047                  ,     ,12.02,4.8,1.8867,       ,       ,       ,0.017,1.0,ok  ,     ,0.0,     ,1,1.0,,
12,210964488,033546.39+222450.0,53.94331,22.41391,UGCSJ033546.40+222449.6,     ,13.27,5.7,0.4939,       ,       ,       ,0.026000000000000002,1.0,best,     ,0.0,     ,1,1.0,,
13,210817078,033548.22+200743.3,53.95093000000001,20.12871,                       ,     ,11.96,5.15,0.6623,       ,       ,       ,0.054000000000000006,1.0,ok  ,     ,0.0,     ,1,1.0,,
14,211051975,033611.05+234823.4,54.04608,23.80651,DH053                  ,     ,13.08,5.69,0.5489999999999999,       ,       ,       ,0.063,1.0,best,     ,0.0,     ,1,1.0,,
15,210977505,033624.31+223725.6,54.101330000000004,22.62379,DH056                  ,14.14,10.56,3.47,11.1805,       ,       ,       ,0.015,4.0,best,11.28,1.0,     ,1,1.0,,
16,211065162,033630.30+240043.9,54.126259999999995,24.012220000000003,PELS189                ,12.26,9.9,2.25,7.551,       ,       ,       ,0.035,3.0,best,7.41,1.0,     ,1,1.0,,
17,211010818,033638.39+230844.4,54.15996,23.14569,DH060                  ,     ,13.27,5.84,0.304,       ,       ,       ,0.036000000000000004,1.0,best,     ,0.0,     ,1,1.0,,
18,210940129,033644.10+220139.1,54.183780000000006,22.02753,DH063                  ,     ,12.92,6.07,0.727,0.7903,       ,       ,0.015,1.0,best,     ,0.0,     ,1,1.0,,
19,211013159,033716.51+231104.5,54.318819999999995,23.1846,HHJ179                 ,     ,12.55,5.3,0.4487,       ,       ,       ,0.03,1.0,best,     ,0.0,     ,1,1.0,,
20,210960579,033724.04+222103.5,54.3502,22.35098,PELS003                ,9.22,7.9,1.21,3.3876,       ,       ,       ,0.011000000000000001,1.0,best,     ,0.0,     ,1,1.0,,
21,211013046,033737.07+231058.1,54.40448000000001,23.18281,UGCSJ033737.08+231057.8,     ,12.81,5.33,0.358,       ,       ,       ,0.063,1.0,best,     ,0.0,     ,1,1.0,,
22,210956678,033741.34+221719.4,54.422259999999994,22.28872,UGCSJ033741.35+221718.9,     ,13.07,5.85,0.5602,       ,       ,       ,0.028999999999999998,1.0,best,     ,0.0,     ,1,1.0,,
23,211025925,033756.40+232256.9,54.485040000000005,23.382479999999997,HHJ268                 ,     ,12.07,4.98,0.8969,       ,       ,       ,0.013000000000000001,1.0,best,     ,0.0,     ,1,1.0,,
24,210969800,033822.58+222958.8,54.59409,22.49969,PELS015                ,10.06,8.7,1.25,2.1116,2.2119,       ,       ,0.019,2.0,best,2.3,1.0,24.4,1,1.0,,
25,211008438,033823.37+230629.1,54.597409999999996,23.10811,HHJ418                 ,15.25,11.04,4.1,3.7479,       ,       ,       ,0.032,2.0,best,3.77,1.0,     ,1,1.0,,
26,210803812,033910.20+195531.0,54.79251,19.925279999999997,UGCSJ033910.21+195530.5,     ,12.21,5.27,1.7999,       ,       ,       ,0.013000000000000001,1.0,best,     ,0.0,     ,1,1.0,,
27,211081065,033932.31+241601.3,54.884640000000005,24.26705,BPL2                   ,     ,12.2,5.24,0.72,       ,       ,       ,0.034,1.0,best,0.72,0.0,     ,1,1.0,,
28,211058468,033942.71+235427.9,54.92796,23.90776,HCG22                  ,17.9,12.41,5.38,0.7734,       ,       ,       ,0.039,1.0,best,     ,0.0,     ,1,1.0,,
29,210946466,033944.17+220745.8,54.93408,22.12941,DH111                  ,     ,11.89,4.71,1.081,       ,       ,       ,0.042,1.0,best,     ,0.0,     ,1,1.0,,
30,210979439,033944.78+223915.5,54.9366,22.654320000000002,HHJ141                 ,     ,12.73,5.5,0.6961,       ,       ,       ,0.016,1.0,best,     ,0.0,     ,1,1.0,,
31,211063235,033946.33+235853.1,54.943059999999996,23.98144,HHJ324                 ,16.85,11.83,4.91,1.1377,       ,       ,       ,0.057999999999999996,1.0,best,1.14,1.0,     ,1,1.0,,
32,211054634,033947.97+235056.9,54.9499,23.84916,HHJ291                 ,17.23,11.83,5.29,0.3847,0.447,       ,       ,0.028999999999999998,1.0,best,     ,0.0,40,1,1.0,,
33,211049486,033950.66+234552.6,54.961119999999994,23.76463,BPL7                   ,     ,13.5,5.97,0.5572,       ,       ,       ,0.035,3.0,best,     ,0.0,     ,1,1.0,,
34,211077682,033955.19+241254.3,54.98,24.21509,BPL8                   ,     ,13.45,5.9,0.3291,       ,       ,       ,0.026000000000000002,1.0,best,     ,0.0,     ,1,1.0,,
35,210978953,034007.00+223847.6,55.02916999999999,22.64658,HHJ114                 ,19.2,13.05,6.04,0.48200000000000004,       ,       ,       ,0.032,1.0,best,0.48,0.0,     ,1,1.0,,
36,211077833,034007.09+241303.6,55.02958,24.217670000000002,DH126                  ,     ,13.54,5.84,0.4198,       ,       ,       ,0.023,1.0,best,     ,0.0,     ,1,1.0,,
37,211088075,034015.91+242231.6,55.06632,24.37546,BPL11                  ,     ,13.81,6.24,1.2224,       ,       ,       ,0.052000000000000005,1.0,best,     ,0.0,     ,1,1.0,,
38,211058381,034018.84+235423.6,55.0785,23.906570000000002,UGCSJ034018.84+235423.3,     ,12.77,5.25,0.6702,       ,       ,       ,0.028999999999999998,1.0,best,     ,0.0,     ,1,1.0,,
39,211070495,034025.60+240600.2,55.1067,24.10008,HHJ135                 ,18.45,12.83,5.51,0.606,       ,       ,       ,0.053,1.0,best,     ,0.0,     ,1,1.0,,
40,211069863,034026.39+240523.8,55.10997,24.08995,SK778                  ,     ,11.69,4.9,0.7654,       ,       ,       ,0.042,1.0,best,     ,0.0,     ,1,1.0,,
41,211079106,034026.95+241414.4,55.1123,24.23736,HHJ169                 ,17.99,12.52,5.36,0.8235,       ,       ,       ,0.11,2.0,best,     ,0.0,     ,1,1.0,,
42,211095259,034030.72+242914.2,55.12801999999999,24.4873,PELS019                ,11.72,9.56,2.05,6.8132,       ,       ,       ,0.022000000000000002,3.0,best,6.72,1.0,     ,1,1.0,,
43,211036360,034031.48+233302.4,55.131190000000004,23.55067,SK773                  ,15.23,11.06,4.06,2.3369999999999997,       ,       ,       ,0.018000000000000002,2.0,best,2.35,1.0,     ,1,1.0,,
44,211044536,034034.36+234057.3,55.14318000000001,23.68261,PELS012                ,10.9,9.15,1.64,4.5487,4.1646,       ,       ,0.018000000000000002,3.0,best,4.46,1.0,     ,1,1.0,,
45,210872505,034035.32+205756.9,55.147169999999996,20.96581,DH146                  ,15.98,11.3,4.57,0.534,       ,       ,       ,0.077,1.0,best,0.53,1.0,     ,1,1.0,,
46,211029757,034039.44+232635.1,55.164359999999995,23.443089999999998,DH147                  ,     ,14.04,6.49,0.3274,       ,       ,       ,0.045,1.0,best,     ,0.0,     ,1,1.0,,
47,210888723,034049.38+211255.6,55.205769999999994,21.21546,DH152                  ,     ,12.49,5.55,3.7501,       ,       ,       ,0.057,1.0,best,     ,0.0,     ,1,1.0,,
48,211028209,034050.42+232506.4,55.210119999999996,23.41846,AK1B038                ,10.8,9.12,1.57,4.395,       ,       ,       ,0.039,3.0,best,4.34,1.0,     ,1,1.0,,
49,210854098,034051.06+204117.6,55.212759999999996,20.688229999999997,DH155                  ,     ,13.71,6.08,0.3451,       ,       ,       ,0.045,1.0,best,     ,0.0,     ,1,1.0,,
50,211039307,034051.26+233554.3,55.21359,23.59843,DH156                  ,12.79,10.08,2.6,8.3247,       ,       ,       ,0.085,3.0,best,8.14,1.0,     ,1,1.0,,
51,211078393,034100.38+241335.2,55.25161,24.22646,BPL17                  ,     ,12.94,5.56,0.5214,       ,       ,       ,0.034,1.0,best,     ,0.0,     ,1,1.0,,
52,211046948,034102.97+234321.6,55.2624,23.72269,HCG45                  ,     ,12.0,5.0,1.4556,       ,       ,       ,0.069,2.0,best,     ,0.0,     ,1,1.0,,
53,211053922,034105.21+235015.3,55.271730000000005,23.83759,BPL19                  ,     ,13.76,5.91,0.3446,       ,       ,       ,0.036000000000000004,1.0,best,     ,0.0,     ,1,1.0,,
54,210865020,034113.48+205117.2,55.30619,20.8548,UGCSJ034113.49+205117.2,     ,11.24,4.21,13.0526,       ,       ,       ,0.016,2.0,best,     ,0.0,     ,1,1.0,,
55,211026087,034113.79+232305.8,55.30749,23.38495,DH166                  ,14.05,10.63,3.31,10.0234,       ,       ,       ,0.025,4.0,ok  ,9.87,1.0,     ,1,1.0,,
56,211055424,034119.34+235142.1,55.33059,23.861720000000002,HCG48                  ,     ,12.78,5.62,0.4252,       ,       ,       ,0.023,3.0,best,     ,0.0,     ,1,1.0,,
