,Unnamed: 0,EPIC,angDist,col1,Name,RAJ2000,DEJ2000,OName,Vmag,Ksmag,(V-K)0,Prot,Per2,Per3,Per4,Amp,LC,Mm,LPer,H10,vsini,PapIII,PapII,f_EPIC,t,objID,RAJ2000.1,DEJ2000.1,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,eSDSS_g,gKmag,e_gKmag,gFlags,rmag,eSDSS_r,rKmag,e_rKmag,rFlags,imag,eSDSS_i,iKmag,e_iKmag,iFlags,zmag,eSDSS_z,zKmag,e_zKmag,zFlags,ymag,eSDSS_y,yKmag,e_yKmag,yFlags,Dataset Name,Campaign,Object type,Data Release,RA (J2000),Dec (J2000),Target Type,Archive Class,Ref,Actual Start Time,Actual End Time,Investigation ID,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J,eJ,H,eH,K,eK,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Processing Date,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,High-Level Science Products,SDSS_g,PS1_g,SDSS_r,PS1_r,SDSS_i,PS1_i,SDSS_z,PS1_z,SDSS_y,PS1_y,DM,spec_class,T,logT,BCv,Mv,logL,B-V,Bt-Vt,V-G,U-B,V-Rc,V-Ic,V-Ks,J-H,H-K,Ks-W1,W1-W2,W1-W3,W1-W4,Msun,logAge,b-y,M_J,M_Ks,Mbol,i-z,z-Y,R_Rsun,#SpT.1,lum_class,u_g,g_r,r_i,i_z,z_J,J_H,H_K,Jmag_abs,T_err,R_Rsun_Jackson,R_Rsun_err,Mbol_err,spectype_std,L_quiet_logL,L_quiet,L_planck,L_quiet_bol,L_quiet_err,L_quiet_bol_err,todrop,whydrop, Date of Run ,n_appa_flares, Filename , Total Exposure Time of LC in Days , BJD-2454833 days ,Ethresh,thresh20p
0,0,210754915.0,0.826592,192.0,034428.08+191106.1,56.11701,19.18504,DH343,11.84,9.42,2.31,0.5332,,,,0.049,1.0,best,0.53,1.0,,1.0,1.0,,,1.3102056117096227e+17,56.11709637,19.18482537,0.055,0.031,90.0,1073897472.0,128.0,55638.98003472,21.0,71.0,12.38,,,,65572.0,11.665999999999999,,,,65572.0,11.34,,,,65572.0,11.149000000000001,,,,98340.0,11.059000000000001,,,,65572.0,KTWO210754915-C04,4,STAR,6,03 44 28.086,+19 11 06.01,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4007_GO4020_GO4024_GO4029_GO4032_GO4033_GO4048_GO4060_GO4104_GO4106,16.2,1.3,-41.8,0.8,,,,,12.668,0.041,11.797,0.03,12.175,0.03,11.499,0.04,11.202,0.06,,,10.002,0.018000000000000002,9.537,0.019,9.418,0.02,11.494000000000002,gri,,,,546-007651,03442808+1911061,,2015-09-03 18:04:44,1.0,0.0,0.984,328.944,325.601,310.882,19,2,66,,,19,12.520532645120001,12.38,11.69958614912,11.665999999999999,11.33239856512,11.34,11.1101581824,11.149000000000001,11.102295370240002,11.059000000000001,5.651668842475033,K3,4830,3.684,-0.41,6.57,-0.58,0.98,1.15,0.376,0.7759999999999999,0.537,1.013,2.38,0.483,0.109,0.033,-0.071,-0.031,-0.008,0.78,,,4.76,4.16,6.16,,,0.7290000000000001,K3V,V  ,2.1,0.85,0.32,0.13,0.99,0.58,0.01,4.94,209.99999999915192,0.7290000000000001,0.1458,0.14000000000000012,2.3418742493993987,1.0521071967581528e+33,6.141090281536664e+31,9.993293533318038e+32,1.0815833456435376e+33,2.520370929835525e+31,3.4866127639132136e+32,True,CMD ,2018-08-20 13:11:27.959655,8.0,stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210754915-c04_kepler_v2_lc.fits,61.953611111111115,2228.800104623835,4.6082863893763553e+33,75.04019934752107
1,1,210762863.0,0.769552,166.0,034411.90+191819.4,56.049609999999994,19.30539,DH318,15.1,11.05,3.94,7.4885,,,,0.033,3.0,best,7.41,1.0,,1.0,1.0,,,1.3116056049665683e+17,56.04968318,19.305187699999998,0.009000000000000001,0.005,0.0,503635968.0,60.0,56188.25275463,5.0,64.0,15.8199,0.002,15.8798,0.0032,115000.0,14.5931,0.0249,14.5981,0.0074,115000.0,13.7533,0.0178,13.786,0.0001,16892216.0,13.3511,0.0039,13.412,0.002,115000.0,13.1332,0.0035,13.1607,0.0022,115000.0,KTWO210762863-C04,4,STAR,6,03 44 11.908,+19 18 19.31,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4020_GO4024_GO4032_GO4048_GO4054_GO4060,22.2,4.3,-36.1,5.1,,,,,16.757,0.2,15.306,0.05,16.047,0.09,14.618,0.06,13.737,0.04,,,11.954,0.022,11.253,0.017,11.048,0.016,14.43,gri,,,,547-007430,03441190+1918194,,2015-09-03 20:22:11,1.0,0.0,0.953,489.657,435.559,416.197,19,2,66,,,19,16.05218913082638,15.8199,14.623077744099893,14.5931,13.75216679161601,13.7533,13.280981731277366,13.3511,13.248411499018106,13.1332,5.651668842475033,M2,3550,3.55,-1.65,10.3,-1.57,1.5,,1.086,1.17,1.001,2.173,4.24,0.6,0.234,0.11,,,,0.48,,,6.89,6.06,8.65,0.53,,0.434,M2V,V  ,2.59,1.43,0.85,0.52,1.33,0.69,0.15,6.23,76.37626158015652,0.434,0.0868,0.125,4.943429983321297,1.076613921570766e+32,3.8795023438230996e+30,1.0336088679970168e+32,1.091591113123216e+32,1.290364780230696e+30,3.141851780902868e+31,True,CMD ,2018-08-20 13:11:28.151584,4.0,stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210762863-c04_kepler_v2_lc.fits,61.6901388888889,2228.800102390058,1.74590180242638e+32,45.00324133599727
2,2,210769047.0,0.7282689999999999,702.0,035623.92+192353.7,59.099669999999996,19.39828,UGCSJ035623.92+192353.3,,12.89,5.7,0.6439,,,,0.019,1.0,best,,0.0,,1.0,1.0,,,1.3127059099734826e+17,59.09975737,19.39809525,0.008,0.005,90.0,503636096.0,60.0,56136.21800926,5.0,92.0,19.058,0.0121,19.1413,0.016,115000.0,17.7894,0.0033,17.8745,0.0055,115000.0,16.2031,0.0018,16.2537,0.002,115000.0,15.4503,0.0041,15.491,0.0029,115000.0,15.0679,0.004,15.0957,0.003,115000.0,KTWO210769047-C04,4,STAR,6,03 56 23.921,+19 23 53.79,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4048,,,,,,,,,,,,,,,,,,,,,13.764,0.027000000000000003,13.104,0.026,12.890999999999998,0.026,16.063,JHK,,,,,03562392+1923537,,2015-09-03 19:06:37,0.999,0.0008,0.5770000000000001,1315.669,1112.249,847.9,13,2,42,,,19,19.348585120676166,19.058,17.82682943409337,17.7894,16.210936164422222,16.2031,15.331647179776173,15.4503,15.298308714012366,15.0679,5.651668842475033,M3.5,3250,3.512,-2.27,12.19,-2.07,1.602,,1.467,1.2,1.178,2.68,5.0,0.5579999999999999,0.269,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.29100000000000004,M3.5V,,,,,,,,,,109.69655114431325,0.29100000000000004,0.058200000000000016,0.375,4.106016926414212,3.404552152809507e+31,9.817374889102762e+29,3.2642387909432743e+31,3.388909656562385e+31,4.1490775073572245e+29,2.926219821264045e+31,True,CMD ,2018-08-20 13:11:28.338151,3.0,stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210769047-c04_kepler_v2_lc.fits,61.953611111111115,2228.8002908054627,2.8195770928471043e+32,287.2027527416541
3,3,210770541.0,0.8672799999999999,811.0,035324.07+192516.8,58.35033000000001,19.42136,s4543478,,11.29,5.03,,,,,,,best,,,,1.0,,,,1.313005835044159e+17,58.35042729999999,19.42113725,0.008,0.003,90.0,503635968.0,60.0,56109.87759259,5.0,58.0,17.0077,0.0046,17.0827,0.006,115000.0,15.7904,0.0025,15.8556,0.0027,115000.0,14.3895,0.002,14.427999999999999,0.0014,115000.0,13.7358,0.0054,13.7791,0.0021,115000.0,13.424000000000001,0.0037,13.4427,0.0036,115000.0,KTWO210770541-C04,4,STAR,6,03 53 24.072,+19 25 16.96,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4020_GO4032_GO4097,17.0,3.6,-46.9,3.9,,,,,,,,,,,,,,,,,12.169,0.021,11.559,0.019,11.29,0.02,14.486,JHK,,,,548-007856,03532407+1925169,,2015-09-03 19:07:33,1.0,0.0,0.7979999999999999,288.257,242.818,200.727,13,1,41,,,19,17.28151356306364,17.0077,15.823509251420367,15.7904,14.394158176687933,14.3895,13.635791886205745,13.7358,13.609315783486865,13.424000000000001,5.651668842475033,M2,3550,3.55,-1.65,10.3,-1.57,1.5,,1.086,1.17,1.001,2.173,4.24,0.6,0.234,0.11,,,,0.48,,,6.89,6.06,8.65,0.53,,0.434,M2V,V  ,2.59,1.43,0.85,0.52,1.33,0.69,0.15,6.23,76.37626158015652,0.434,0.0868,0.125,4.580870550452174,1.076613921570766e+32,3.8795023438230996e+30,1.0336088679970168e+32,1.091591113123216e+32,1.290364780230696e+30,3.141851780902868e+31,True,CMD ,2018-08-20 13:11:28.488473,0.0,stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210770541-c04_kepler_v2_lc.fits,61.915972222222244,2228.800249645661,2.3292642234871966e+32,60.04028396054007
4,4,210776021.0,0.816603,683.0,035513.62+193016.9,58.80676,19.504720000000002,DH813,16.74,11.72,4.91,2.4272,,,,0.013999999999999999,1.0,best,,0.0,,1.0,1.0,,,1.3140058806828605e+17,58.80685642,19.50451217,0.006,0.005,0.0,503636096.0,60.0,55868.44975694,5.0,51.0,17.3165,0.0186,17.4103,0.0266,115000.0,16.1235,0.0046,16.1636,0.0092,115000.0,14.7813,0.0016,14.8362,0.0011,115000.0,14.163,0.0062,14.2073,0.004,115000.0,13.8412,0.0032,13.8829,0.0035,115000.0,KTWO210776021-C04,4,STAR,6,03 55 13.616,+19 30 16.85,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4024_GO4032_GO4048_GO4097,9.1,17.4,-48.0,17.4,,,,,,,,,,,,,,,,,12.615,0.024,11.936,0.027000000000000003,11.720999999999998,0.021,14.977,JHK,,,,548-007952,03551362+1930170,,2015-09-03 20:01:50,1.0,0.0,0.753,1281.181,1114.344,1076.302,13,2,42,,,19,17.584306365871598,17.3165,16.155587017466484,16.1235,14.784949537353842,14.7813,14.068591624230347,14.163,14.013141843326814,13.8412,5.651668842475033,M2,3550,3.55,-1.65,10.3,-1.57,1.5,,1.086,1.17,1.001,2.173,4.24,0.6,0.234,0.11,,,,0.48,,,6.89,6.06,8.65,0.53,,0.434,M2V,V  ,2.59,1.43,0.85,0.52,1.33,0.69,0.15,6.23,76.37626158015652,0.434,0.0868,0.125,9.867085435932944,1.076613921570766e+32,3.8795023438230996e+30,1.0336088679970168e+32,1.091591113123216e+32,1.290364780230696e+30,3.141851780902868e+31,True,CMD ,2018-08-20 13:11:28.641807,4.0,stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210776021-c04_kepler_v2_lc.fits,60.74916666666668,2228.8002760453965,5.163437468615794e+34,13309.5356337056
5,5,210779549.0,0.028077,219.0,034501.66+193333.7,56.25695,19.55937,PELS135,9.45,8.15,1.19,0.9368,,,,0.002,1.0,ok,,0.0,,1.0,1.0,,,1.3147056257028166e+17,56.256958,19.559372,0.051,0.051,90.0,1409359872.0,168.0,51127.35418981,4.0,36.0,9.562000000000001,,,,114788.0,9.331,,,,114788.0,9.26,,,,114788.0,9.243,,,,114788.0,9.236,,,,68.0,KTWO210779549-C04,4,STAR,6,03 45 01.656,+19 33 33.72,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4007_GO4012_GO4018_GO4024_GO4032_GO4033_GO4048_GO4086_GO4104,14.3,1.2,-46.1,1.2,,,,,9.898,0.031,9.382,0.026,9.643,0.03,9.772,0.04,9.203,0.06,,,8.404,0.021,8.225,0.031,8.152000000000001,0.021,9.74,gri,,1256-516-1,,548-007463,03450166+1933337,,2015-09-03 19:22:18,1.0,0.0,1.0,74.388,71.851,68.508,19,2,66,,,19,9.619417035162641,9.562000000000001,9.357933984852641,9.331,9.249463780652642,9.26,9.2339133295688,9.243,9.201035165071278,9.236,5.651668842475033,F6,6340,3.802,-0.05,3.7,0.43,0.484,0.504,0.149,-0.021,0.276,0.5529999999999999,1.185,0.199,0.057,0.028,-0.033,-0.045,-0.012,1.25,9.4,0.317,2.78,2.52,3.65,,,1.36,F6V,V  ,1.14,0.28,0.08,-0.01,0.72,0.23,0.01,2.9,136.5039681950595,1.36,0.272,0.14500000000000002,6.144102863722254,1.0766139215707662e+34,7.110131565749023e+32,1.0325249248041812e+34,1.0915911131232166e+34,2.0191609056178784e+32,3.644548065847329e+33,True,CMD ,2018-08-20 13:11:28.775884,0.0,stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210779549-c04_kepler_v2_lc.fits,61.840694444444466,2228.800117967825,5.895702603459083e+33,8.291973993645778
6,6,210784223.0,1.0621459999999998,684.0,035515.73+193746.6,58.81555,19.62963,s4745026,,9.98,3.12,0.2684,,,,0.096,2.0,best,,0.0,,1.0,1.0,,,1.3155058815645578e+17,58.81568144,19.62936219,0.142,0.126,90.0,503635968.0,60.0,55893.71831019,5.0,78.0,13.712,0.0087,13.7646,0.0058,16696.0,12.909,,,,114724.0,12.425,,,,16420.0,12.116,,,,16420.0,11.956,,,,16420.0,KTWO210784223-C04,4,STAR,6,03 55 15.737,+19 37 46.53,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4007_GO4020_GO4032_GO4033,20.9,1.8,-53.0,2.2,,,,,,,,,,,,,,,,,10.765999999999998,0.024,10.154,0.025,9.976,0.019,12.789,JHK,,,,549-008008,03551573+1937466,,2015-09-03 20:09:45,1.0,0.0,0.943,605.253,472.455,397.36300000000006,13,2,42,,,19,13.87679862454249,13.712,12.942026779438741,12.909,12.418591209663742,12.425,12.070245997043298,12.116,12.015895973502223,11.956,5.651668842475033,K6,4230,3.626,-0.81,7.8,-0.9,1.24,1.439,0.617,1.1840000000000002,0.759,1.42,3.143,0.601,0.14800000000000002,0.049,,,,0.68,,,5.41,4.66,6.99,,,0.6609999999999999,K6V,,,,,,,,,,170.0980109612371,0.6609999999999999,0.13219999999999998,0.15500000000000025,6.59545297913646,5.035701647176669e+32,2.5312607526332027e+31,4.833134728058824e+32,5.035701647176669e+32,1.0531377041555376e+31,1.7972453895609597e+32,True,CMD ,2018-08-20 13:11:28.929665,3.0,stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210784223-c04_kepler_v2_lc.fits,61.934791666666676,2228.8002781227115,3.3406375991652327e+33,131.97524576202025
7,7,210784603.0,0.81515,759.0,033103.57+193805.1,52.7649,19.63475,s3289407,,10.13,3.77,,,,,,,best,,,,1.0,,,True,1.3156052764845203e+17,52.76493933,19.63452662,0.025,0.009000000000000001,90.0,503635968.0,60.0,55960.64181713,5.0,63.0,14.6234,0.0028,14.6779,0.0019,115000.0,13.4024,0.0041,13.453,0.0043,16892216.0,12.887,,,,114724.0,12.475,,,,114724.0,12.1404,0.0016,12.1624,0.0035,16892216.0,KTWO210784603-C04,4,STAR,6,03 31 03.583,+19 38 05.14,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4020_GO4032_GO4060,17.6,5.1,-48.8,6.3,,,,,15.449000000000002,0.02,14.113,0.036000000000000004,14.781,0.038,13.603,0.043,12.764,0.062,,,10.995,0.022,10.349,0.021,10.13,0.018000000000000002,13.369000000000002,gri,,,,549-006885,03310357+1938051,,2015-09-03 17:50:26,1.0,0.0,0.94,201.988,194.141,175.75599999999997,24,1,81,,,19,14.828601551076314,14.6234,13.433330504711757,13.4024,12.883292172170634,12.887,12.416593293394758,12.475,12.229118746078115,12.1404,5.651668842475033,M1.5,3650,3.562,-1.57,9.97,-1.47,1.486,,1.03,1.17,0.978,2.089,4.12,0.607,0.228,0.105,,,,0.5,,,6.69,5.85,8.4,0.47,,0.46,M1.5V,,,,,,,,,,76.37626158016221,0.46,0.092,0.17499999999999982,6.41165930161608,1.3553766245568102e+32,5.192362003663618e+30,1.2976294779025415e+32,1.3742317915994988e+32,1.694112737248263e+30,5.53749986589713e+31,True,CMD ,2018-08-20 13:11:29.113763,0.0,stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210784603-c04_kepler_v2_lc.fits,61.859513888888905,2228.799917103432,1.3606677742176273e+32,26.205179324122042
8,8,210791550.0,0.765664,726.0,035916.63+194427.5,59.81933000000001,19.74099,UGCSJ035916.64+194427.1,,12.69,5.47,0.3727,,,,0.040999999999999995,1.0,best,,0.0,,1.0,1.0,,,1.316805981937995e+17,59.81939593,19.74078657,0.005,0.002,90.0,503635968.0,60.0,56267.04224537,5.0,82.0,18.8014,0.0066,18.8821,0.0149,115000.0,17.5365,0.0052,17.6045,0.0052,115000.0,15.9606,0.0024,16.0249,0.0018,115000.0,15.2448,0.0019,15.2919,0.0018,115000.0,14.8836,0.0044,14.9063,0.0083,115000.0,KTWO210791550-C04,4,STAR,6,03 59 16.642,+19 44 27.56,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4048_GO4097,,,,,,,,,,,,,,,,,,,,,13.61,0.028,12.959,0.027000000000000003,12.695,0.023,16.029,JHK,,,,,03591663+1944275,,2015-09-03 19:06:59,1.0,0.0,0.6920000000000001,1398.638,1175.35,980.776,13,2,42,,,19,19.09099922295236,18.8014,17.573608459267884,17.5365,15.968233791335726,15.9606,15.127377328118325,15.2448,15.111010768161744,14.8836,5.651668842475033,M3.5,3250,3.512,-2.27,12.19,-2.07,1.602,,1.467,1.2,1.178,2.68,5.0,0.5579999999999999,0.269,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.29100000000000004,M3.5V,,,,,,,,,,109.69655114431325,0.29100000000000004,0.058200000000000016,0.375,3.3541019662496847,3.404552152809507e+31,9.817374889102762e+29,3.2642387909432743e+31,3.388909656562385e+31,4.1490775073572245e+29,2.926219821264045e+31,True,CMD ,2018-08-20 13:11:29.321264,7.0,stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210791550-c04_kepler_v2_lc.fits,61.915972222222244,2228.8003342642332,4.441925946631367e+32,452.4555695190862
9,9,210803812.0,0.817008,26.0,033910.20+195531.0,54.79251,19.925279999999997,UGCSJ033910.21+195530.5,,12.21,5.27,1.7999,,,,0.013000000000000001,1.0,best,,0.0,,1.0,1.0,,,1.3191054792609066e+17,54.79260466,19.92507123,0.003,0.002,0.0,503635968.0,60.0,56253.85738426,5.0,72.0,18.1235,0.0036,18.2205,0.0117,115000.0,16.8415,0.0034,16.9161,0.0038,115000.0,15.3888,0.0022,15.448,0.001,115000.0,14.7204,0.0018,14.7758,0.0041,115000.0,14.3899,0.0019,14.387,0.0037,115000.0,KTWO210803812-C04,4,STAR,6,03 39 10.202,+19 55 31.00,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4048_GO4097,,,,,,,,,,,,,,,,,,,,,13.125,0.021,12.497,0.024,12.214,0.023,15.534,JHK,,,,,03391020+1955310,,2015-09-03 17:48:42,0.994,0.006,0.8809999999999999,1129.56,1026.299,894.135,19,4,68,,,19,18.40562972937009,18.1235,16.87645999879215,16.8415,15.394964911168936,15.3888,14.611735190705586,14.7204,14.596054958541632,14.3899,5.651668842475033,M3.5,3250,3.512,-2.27,12.19,-2.07,1.602,,1.467,1.2,1.178,2.68,5.0,0.5579999999999999,0.269,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.29100000000000004,M3.5V,,,,,,,,,,109.69655114431325,0.29100000000000004,0.058200000000000016,0.375,2.9047375096555625,3.404552152809507e+31,9.817374889102762e+29,3.2642387909432743e+31,3.388909656562385e+31,4.1490775073572245e+29,2.926219821264045e+31,True,CMD ,2018-08-20 13:11:29.473645,0.0,stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210803812-c04_kepler_v2_lc.fits,61.72777777777779,2228.8000369213405,1.5832183845826026e+32,161.26697844043494
