,Unnamed: 0,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster
0,0,0.15523477577669365,0.04086406331043689,371.38209795898064,81.01444043605784,429,431,429.0,431.0
1,1,0.0891980681323005,0.06129595234961016,258.9066887015898,49.298720600543135,597,600,597.0,600.0
2,2,3.2644620920497494e-05,0.04086388961150078,-3.942581510189335,6.015209590511312,611,613,611.0,613.0
3,3,0.3704190246752495,0.06129512917686952,874.1380580449884,180.69914566416224,1228,1231,1626.0,1629.0
4,4,0.004766545137015807,0.06129484419216169,21.40624753434191,51.579866003866854,1626,1629,2007.0,2009.0
5,5,0.028441882851552195,0.040863030699256335,83.99115364268138,18.10662181021895,2007,2009,2290.0,2293.0
6,6,0.058701266211336735,0.06129466310812859,111.5561757268071,57.51363984160643,2290,2293,2300.0,2316.0
7,7,-0.014709795691643738,0.3473365252284566,-675.0146771995586,91.26826191717858,2300,2316,2411.0,2417.0
8,8,0.2494071551224259,0.18388401193806206,1632.86714513212,317.8158095567069,2411,2417,2672.0,2674.0
9,9,0.014248630454146703,0.04086315656604711,22.909765371668197,7.907340307290994,2672,2674,,
