Object ID 	 Date of Run 	 Number of Flares 	 Filename 	 Total Exposure Time of LC in Days 	 BJD-2454833 days 
210754915	2018-08-20 13:11:27.959655	8	stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210754915-c04_kepler_v2_lc.fits	61.95361111111112	2228.800104623835
210762863	2018-08-20 13:11:28.151584	4	stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210762863-c04_kepler_v2_lc.fits	61.690138888888896	2228.800102390058
210769047	2018-08-20 13:11:28.338151	3	stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210769047-c04_kepler_v2_lc.fits	61.95361111111112	2228.8002908054623
210770541	2018-08-20 13:11:28.488473	0	stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210770541-c04_kepler_v2_lc.fits	61.91597222222224	2228.800249645661
210776021	2018-08-20 13:11:28.641807	4	stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210776021-c04_kepler_v2_lc.fits	60.749166666666675	2228.8002760453965
210779549	2018-08-20 13:11:28.775884	0	stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210779549-c04_kepler_v2_lc.fits	61.84069444444445	2228.800117967825
210784223	2018-08-20 13:11:28.929665	3	stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210784223-c04_kepler_v2_lc.fits	61.934791666666676	2228.8002781227115
210784603	2018-08-20 13:11:29.113763	0	stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210784603-c04_kepler_v2_lc.fits	61.8595138888889	2228.7999171034317
210791550	2018-08-20 13:11:29.321264	7	stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210791550-c04_kepler_v2_lc.fits	61.91597222222224	2228.8003342642332
210803812	2018-08-20 13:11:29.473645	0	stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210803812-c04_kepler_v2_lc.fits	61.72777777777779	2228.8000369213405
210804191	2018-08-20 13:11:29.693373	8	stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210804191-c04_kepler_v2_lc.fits	61.95361111111112	2228.800303385302
210815768	2018-08-20 13:11:29.830717	0	stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210815768-c04_kepler_v2_lc.fits	61.95361111111112	2228.8002194107394
210817078	2018-08-20 13:11:38.973791	3	stars_shortlist/Pleiades/hlsp_k2sc_k2_llc_210817078-c04_kepler_v2_lc.fits	61.95361111111112	2228.799989313993
