,age,n_stars,threshold,tot_en_err,tot_en,tot_flares_p_star,tot_flares,Tmin,Tmax,FA,FA_err,dur100,dur,dursec,tot_flares_p_yr,tot_flares_p_yr_err
0,0.125,307.0,1.234377648663632e+32,1.7171002249490466e+31,2.6200080212587726e+32,0.4495114006514658,138.0,3000.0,3249.0,1.7801166425186333e-05,2.7374968520311137e-06,51.94,44.148999999999994,1392282864.0,3.125778613332126,0.2660839458304997
1,0.63,248.0,3.4263181055375126e+32,5.095665210818398e+30,7.294851404191847e+31,0.0967741935483871,24.0,3000.0,3249.0,7.674019829926058e-06,1.6015276509905853e-06,43.98,37.383,1178910288.0,0.6420030495144852,0.13104832371843766
2,0.125,150.0,1.7262338415391115e+32,4.16572388992086e+31,6.01888739055271e+32,0.94,141.0,3250.0,3499.0,1.7252798963367237e-05,2.459062880611679e-06,25.39,21.581999999999997,680609952.0,6.5332221295524056,0.5501965567156852
3,0.63,139.0,1.777935685793851e+32,1.7887059610976637e+31,2.0933301672493643e+32,0.30935251798561153,43.0,3250.0,3499.0,5.90489245374796e-06,1.4405260894932096e-06,24.6,20.91,659417759.9999999,2.056432329029173,0.31360299016269727
4,0.125,119.0,1.8459308318630368e+32,4.797046819090973e+31,8.097129284434216e+32,0.9915966386554622,118.0,3500.0,3749.0,4.404595970465603e-06,5.763785940728209e-07,20.15,17.128,540148608.0,6.889304063521719,0.6342118455861873
5,0.63,140.0,1.1233649523426398e+32,1.2945615984601983e+31,1.762423410851778e+32,0.4,56.0,3500.0,3749.0,8.616592629848863e-07,9.652933559540068e-08,24.82,21.096999999999998,665314992.0,2.654405839692848,0.35470990062795105
6,0.125,52.0,2.4358078513825543e+32,7.652536614423356e+31,6.760458671775034e+32,0.7115384615384616,37.0,3750.0,4000.0,7.515349471114411e-07,1.0834536993368569e-07,8.8,7.48,235889280.0,4.946524064171123,0.8132035468313127
7,0.63,73.0,1.0528252619744218e+32,5.25749490466673e+30,2.6815151891866285e+31,0.0958904109589041,7.0,3750.0,4000.0,2.0934635260425022e-08,4.401096593337152e-09,12.95,11.008,347148287.99999994,0.6359011627906977,0.24034804788014089
8,4.3,51.0,1.3683131476597485e+33,1.5849444805407565e+31,7.71739636281628e+31,0.0392156862745098,2.0,3750.0,4000.0,8.476903559827272e-08,2.0615597714219433e-08,9.05,7.693,242606448.0,0.2599766021058105,0.1838312182988555
9,0.125,721.0,1.768140957422684e+32,2.008228546812377e+31,5.132108845486711e+32,0.59500693481276,429.0,3000.0,7000.0,3.7762984492807964e-06,5.05112436707635e-07,122.014,103.712,3270661632.0,4.136454797901882,0.19970991955808373
10,0.63,740.0,1.9873802655552705e+32,5.748207996240921e+30,1.1774493409078407e+32,0.17027027027027028,126.0,3000.0,7000.0,1.1898028169668878e-06,1.8802649486194288e-07,131.2,111.52,3516894720.0,1.129842180774749,0.10065434146630044
11,4.3,178.0,1.9763193004608312e+33,1.6378167933208937e+31,8.998665140238934e+31,0.016853932584269662,3.0,3000.0,7000.0,3.6353947830354104e-09,1.057618641823559e-09,31.56,26.826,845984736.0000001,0.11183180496533214,0.06456612270069623
