,Tmax,Tmin,alpha,alpha_err,beta,beta_err,cluster,count_per_yr,high_yerr,logE,low_yerr,maxenerg,n_obj,nflares
382,3499.0,3250.0,-2.16642948360599,0.025145150369184906,39.814212339542365,0.8174658294588635,Pleiades,-3.1274038061369476,0.08637179010644314,32.25051674793957,0.10792410374772388,8.925923887818524e+33,150,136
394,3499.0,3250.0,-2.16642948360599,0.025145150369184906,39.814212339542365,0.8174658294588635,Pleiades,-3.130494883114089,0.08668908438741374,32.25237307985042,0.10842088495878066,8.925923887818524e+33,150,136
341,3499.0,3250.0,-2.16642948360599,0.025145150369184906,39.814212339542365,0.8174658294588635,Pleiades,-3.1336081185382323,0.08715197601864721,32.25691357575585,0.10914729848260585,8.925923887818524e+33,150,136
84,3499.0,3250.0,-2.16642948360599,0.025145150369184906,39.814212339542365,0.8174658294588635,Pleiades,-3.136743832391091,0.0875888070664983,32.25931343434674,0.10983464357141015,8.925923887818524e+33,150,136
86,3499.0,3250.0,-2.16642948360599,0.025145150369184906,39.814212339542365,0.8174658294588635,Pleiades,-3.1399023516359206,0.08749274380804017,32.26737399345403,0.10968333724805568,8.925923887818524e+33,150,136
87,3499.0,3250.0,-2.16642948360599,0.025145150369184906,39.814212339542365,0.8174658294588635,Pleiades,-3.14308401042211,0.08730050644098997,32.26737399345403,0.10938080860292532,8.925923887818524e+33,150,136
321,3499.0,3250.0,-2.16642948360599,0.025145150369184906,39.814212339542365,0.8174658294588635,Pleiades,-3.146289150297321,0.08709759944715456,32.26741921164737,0.10906186242712312,8.925923887818524e+33,150,136
329,3499.0,3250.0,-2.16642948360599,0.025145150369184906,39.814212339542365,0.8174658294588635,Pleiades,-3.1495181204275196,0.08721797185315472,32.27173912431322,0.1092510275948837,8.925923887818524e+33,150,136
389,3499.0,3250.0,-2.16642948360599,0.025145150369184906,39.814212339542365,0.8174658294588635,Pleiades,-3.1527712778252415,0.08751511247017607,32.2742804020637,0.10971856175213013,8.925923887818524e+33,150,136
340,3499.0,3250.0,-2.16642948360599,0.025145150369184906,39.814212339542365,0.8174658294588635,Pleiades,-3.1560489875864772,0.08788579551704334,32.27491104375337,0.11030296675183093,8.925923887818524e+33,150,136
114,3499.0,3250.0,-2.16642948360599,0.025145150369184906,39.814212339542365,0.8174658294588635,Pleiades,-3.159351623136563,0.08837572231931201,32.29294169000988,0.11107734309721629,8.925923887818524e+33,150,136
219,3499.0,3250.0,-2.16642948360599,0.025145150369184906,39.814212339542365,0.8174658294588635,Pleiades,-3.1626795664854903,0.08805176173014306,32.295713619926964,0.11056503986194999,8.925923887818524e+33,150,136
