,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,stars_in_bin,rel_energ_err
173,211931651.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,7000.0,3000.0,404.55844781029646,72.89484096506317,8.075912303795799e+31,4.35493789255053e+31,2.3333333333333335,4.363351071783791e+31,740,0.5392502702764175
174,211931651.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,7000.0,3000.0,95.7828693777851,21.103091881519653,1.9120452371906527e+31,1.1078175122220404e+31,2.3333333333333335,4.408228299688566e+31,740,0.5793887564343115
175,211931651.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,7000.0,3000.0,78.27304898297646,92.8482639275927,1.5625091572272502e+31,2.414508590254081e+31,2.0,5.079947409364705e+31,740,1.5452764414761868
382,211988628.0,4.724232079919543e+29,1.3597432953833746e+29,3550.0,7000.0,3000.0,16.056487447716393,3.6755154394775174,1.8658042314623483e+31,1.0464260716418482e+31,3.8000000000000003,5.733416612549835e+31,740,0.5608445162661563
383,211988628.0,4.724232079919543e+29,1.3597432953833746e+29,3550.0,7000.0,3000.0,8.059166684911633,13.750963706102459,9.364954415921832e+30,1.9087502823736538e+31,3.8000000000000003,5.733416612549835e+31,740,2.038184274691707
224,211945445.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,113.597164415395,24.99096192985745,3.3592081463355835e+31,2.1555237938857564e+31,1.3636363636363638,5.911307225292454e+31,740,0.6416761629484392
450,212014467.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,99.94324508346747,18.289275033154063,2.955444924909575e+31,1.7870878550362396e+31,3.75,6.26322525290526e+31,740,0.6046764194365482
507,212077095.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,71.34257498959963,15.097664675767867,2.1096878634159084e+31,1.3360693268991952e+31,3.5999999999999996,6.48828598380465e+31,740,0.6333018974360946
523,212088298.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,7000.0,3000.0,201.58900799165403,44.71806317930264,4.0241778629553898e+31,2.3376225760198885e+31,2.444444444444444,6.941517209257012e+31,740,0.5808944474196572
136,211915935.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,115.76830619627933,25.612085689135295,3.4234114844622858e+31,2.2009644402990274e+31,2.2,7.504696319601412e+31,740,0.6429155391598309
26,211832848.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,66.481810090559,14.461661801455847,1.9659490550547156e+31,1.256650184778177e+31,2.5999999999999996,7.866472821642282e+31,740,0.6392079090488957
315,211973218.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,86.54392655201926,21.209958858907438,2.5592105629179987e+31,1.7063720448537963e+31,4.333333333333333,8.332934867735756e+31,740,0.6667571905096389
96,211905618.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,135.54217617762035,29.850029031765587,4.0081491886800096e+31,2.572857731426579e+31,3.5,8.370275647248014e+31,740,0.6419066781977468
97,211905618.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,128.2755942552713,25.294556687460357,3.7932674060651813e+31,2.347535490979667e+31,3.5,8.370275647248014e+31,740,0.6188689695923136
295,211969273.0,2.4228762028039462e+29,8.089374008782233e+28,3500.0,7000.0,3000.0,62.694915577126466,12.033407808448784,5.587468399365187e+31,2.8904336635864363e+31,3.75,8.473237834143366e+31,740,0.5173064896286177
28,211832848.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,101.81192181812989,21.508740580522986,3.010703998868423e+31,1.9055930546502263e+31,3.25,8.532900457044954e+31,740,0.6329393574946078
281,211958562.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,171.0157791091421,34.54063278373267,5.057147344229854e+31,3.1539060073975295e+31,1.125,8.730856988822847e+31,740,0.6236531769231718
503,212074153.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,88.20284356003822,19.875813067084145,2.6082667832568643e+31,1.68760572726737e+31,2.0,8.777222380020272e+31,740,0.6470218990252629
226,211945502.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,7000.0,3000.0,182.89888142667496,39.179877755012605,3.6510801711321475e+31,2.0931008169794787e+31,4.333333333333333,8.814437116064796e+31,740,0.573282622914971
504,212077095.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,220.92709946726313,33.5325380493397,6.533086596800168e+31,3.7464691866527687e+31,4.0,8.850257639446967e+31,740,0.5734608184265837
