,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,stars_in_bin,rel_energ_err
673,211040347.0,2.01526064735913e+27,1.16007728127667e+27,3030.0,7000.0,3000.0,153.69800311615816,35.54176129480781,1.2328448559288895e+31,6.771904484550253e+30,2.428571428571429,4.3541940633925055e+31,721,0.5492908902513892
114,210880560.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,87.20674138916624,945.9566038347668,1.7408460991746483e+31,1.9508537917083512e+32,3.5,4.367860474751779e+31,721,11.20635415521952
11,210762863.0,4.7242320799195404e+29,1.3597432953833699e+29,3550.0,7000.0,3000.0,19.953817841566135,4.5389376776348165,2.3186838269485876e+31,1.297083574852959e+31,2.7777777777777777,4.995232965736133e+31,721,0.5594051072327246
8,210762863.0,4.7242320799195404e+29,1.3597432953833699e+29,3550.0,7000.0,3000.0,19.34424359757594,4.989846118494884,2.2478497664150604e+31,1.3259681101592115e+31,2.7777777777777777,4.995232965736133e+31,721,0.5898828871797362
671,211040347.0,2.01526064735913e+27,1.16007728127667e+27,3030.0,7000.0,3000.0,315.4568045025636,155.04600018001088,2.530347114560951e+31,2.0484261287824535e+31,2.3333333333333335,5.525152176285513e+31,721,0.8095435274451991
638,211038588.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,69.73620715883305,14.881929678486493,1.3920942609463368e+31,7.969318698409396e+30,3.666666666666667,5.581856435621086e+31,721,0.5724697617093761
10,210762863.0,4.7242320799195404e+29,1.3597432953833699e+29,3550.0,7000.0,3000.0,21.067428791301317,4.548282173572143,2.4480882205922435e+31,1.3411230129342043e+31,2.1666666666666665,5.602357484258974e+31,721,0.5478246256214405
100,210877263.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,93.18308248528953,20.37448263839811,1.8601475421456138e+31,1.074638077587164e+31,3.5999999999999996,5.631046049059975e+31,721,0.5777165806684383
437,211011910.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,87.61584388893947,19.055403078682613,1.7490127211530415e+31,1.008401433143794e+31,4.2,5.836577043834789e+31,721,0.5765546590644592
562,211029076.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,130.08052144038243,30.726579679957414,2.5967048501163925e+31,1.545762722535401e+31,4.0,6.0381802709202715e+31,721,0.5952785594658997
373,211005799.0,6.372813724560239e+27,2.2744616118030298e+27,3100.0,7000.0,3000.0,281.02114921799995,75.19248241855551,4.202965916072624e+31,2.754992274918563e+31,4.666666666666667,6.213207388796091e+31,721,0.6554876556060464
929,211069418.0,2.53706284034917e+28,2.19067615356642e+28,3250.0,7000.0,3000.0,60.331478883338484,15.24654688565345,1.7840761817283325e+31,1.2031680854092327e+31,4.0,6.6484218124548e+31,721,0.674392774104331
618,211035282.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,161.75248784071408,33.09577806413269,3.2289497692925317e+31,1.8200753533941433e+31,1.7142857142857142,7.081371175979058e+31,721,0.5636740994558502
224,210965709.0,6.372813724560239e+27,2.2744616118030298e+27,3100.0,7000.0,3000.0,191.1240539502467,70.04537703961068,2.858460606007158e+31,2.156452912120698e+31,3.142857142857143,7.087172035667485e+31,721,0.754410575954356
899,211065494.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,95.9233572158266,21.84171533487444,1.9148496958935e+31,1.1235691137706008e+31,3.666666666666667,7.131129086015295e+31,721,0.586766217829084
1098,211084069.0,4.7242320799195404e+29,1.3597432953833699e+29,3550.0,7000.0,3000.0,15.742951613546207,20.694613182723078,1.8293705788334854e+31,3.0119945105217823e+31,4.0,7.517531693045213e+31,721,1.646464934645668
261,210977069.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,172.55499284727932,42.3590513927533,3.444592486844296e+31,2.0824215740918917e+31,2.428571428571429,7.627570206768053e+31,721,0.6045480218763603
559,211027758.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,145.74250912764882,32.909162169726365,2.9093539611412683e+31,1.70159390477942e+31,2.75,7.6323890269005105e+31,721,0.5848700183981486
1010,211078239.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,184.81772928810688,41.05997323101605,3.6893847650347693e+31,2.1443857234751684e+31,3.25,7.75465005116132e+31,721,0.5812312512910156
928,211069418.0,2.53706284034917e+28,2.19067615356642e+28,3250.0,7000.0,3000.0,101.75249081576594,82.5852100182833,3.0089465508870945e+31,3.7109584448522746e+31,3.0,7.99100298154925e+31,721,1.2333081967701334
931,211069418.0,2.53706284034917e+28,2.19067615356642e+28,3250.0,7000.0,3000.0,100.74577892218998,22.5041329305991,2.979176839545119e+31,1.9217336666024392e+31,3.0,8.06492995125909e+31,721,0.6450552518714743
124,210882573.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,174.96251665233905,38.12663082584234,3.4926521707396627e+31,2.015189400726374e+31,3.666666666666667,8.526947433653393e+31,721,0.5769796997276152
122,210882573.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,180.40071755208083,36.661623727437494,3.601211104051895e+31,2.0249243899636937e+31,3.666666666666667,8.526947433653393e+31,721,0.5622898329079776
811,211059734.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,240.94325093032705,53.24674620493196,4.80977859994464e+31,2.789957560479442e+31,2.3333333333333335,8.589163475738145e+31,721,0.5800594564813345
366,211005117.0,2.53706284034917e+28,2.19067615356642e+28,3250.0,7000.0,3000.0,128.51857754682268,43.84185766706872,3.800452721443454e+31,2.8990319406404444e+31,2.5,8.659307950721243e+31,721,0.7628122629399163
1198,211101696.0,2.53706284034917e+28,2.19067615356642e+28,3250.0,7000.0,3000.0,131.86196290559386,28.751508690197305,3.8993207468147027e+31,2.494482374497421e+31,4.666666666666667,9.107594346767598e+31,721,0.6397222840760475
932,211069418.0,2.53706284034917e+28,2.19067615356642e+28,3250.0,7000.0,3000.0,78.24790030598223,21.475329710383544,2.313886842987846e+31,1.6107713284751968e+31,2.4,9.18337491367202e+31,721,0.6961322820761886
54,210833622.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,99.2744345442139,28.16090563218218,1.981744867095028e+31,1.273734430483345e+31,2.2857142857142856,9.188978525448982e+31,721,0.6427338108111105
901,211065494.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,173.24304592920166,74.42473248668635,3.4583276007197743e+31,2.7274577595565226e+31,2.2222222222222223,9.28475389889503e+31,721,0.7886637919984396
358,211004687.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,193.40459246887025,43.8924906470846,3.8607982020495755e+31,2.262478085959045e+31,2.625,9.315241304333629e+31,721,0.5860130386400323
1348,211127537.0,2.53706284034917e+28,2.19067615356642e+28,3250.0,7000.0,3000.0,160.74305200809806,31.323339958238048,4.75337014397578e+31,2.930669981685619e+31,3.0,9.477301860618544e+31,721,0.6165457123930957
