,Tmax,Tmin,alpha,alpha_err,beta,beta_err,cluster,count_per_yr,high_yerr,logE,low_yerr,maxenerg,n_obj,nflares
20,3249.0,3000.0,-2.175726233389131,0.05716723879657405,37.98550125738783,1.8688476479600422,M44,-0.2786227540804431,0.20022298327528287,32.55055951441318,0.3826925573628537,5.0705114605232246e+33,311,27
35,3249.0,3000.0,-2.175726233389131,0.05716723879657405,37.98550125738783,1.8688476479600422,M44,-0.2950131702686125,0.20062562812092755,32.568196648807955,0.3842371397735034,5.0705114605232246e+33,311,27
115,3249.0,3000.0,-2.175726233389131,0.05716723879657405,37.98550125738783,1.8688476479600422,M44,-0.31204650956739277,0.19875463837228202,32.58180277996582,0.37711788513514843,5.0705114605232246e+33,311,27
205,3249.0,3000.0,-2.175726233389131,0.05716723879657405,37.98550125738783,1.8688476479600422,M44,-0.32977527652782457,0.19637912137424407,32.584157116158714,0.36828667213132493,5.0705114605232246e+33,311,27
96,3249.0,3000.0,-2.175726233389131,0.05716723879657405,37.98550125738783,1.8688476479600422,M44,-0.34825868222183765,0.2016982434081911,32.61106284581544,0.3883858765901198,5.0705114605232246e+33,311,27
169,3249.0,3000.0,-2.175726233389131,0.05716723879657405,37.98550125738783,1.8688476479600422,M44,-0.3675638374172243,0.19982819148232012,32.619268621035495,0.3811847975018209,5.0705114605232246e+33,311,27
209,3249.0,3000.0,-2.175726233389131,0.05716723879657405,37.98550125738783,1.8688476479600422,M44,-0.3877672235055112,0.20554147740835216,32.63493909004839,0.40367297675735236,5.0705114605232246e+33,311,27
59,3249.0,3000.0,-2.175726233389131,0.05716723879657405,37.98550125738783,1.8688476479600422,M44,-0.40895652257544923,0.20925663138835704,32.64040534372189,0.4191165965618573,5.0705114605232246e+33,311,27
150,3249.0,3000.0,-2.175726233389131,0.05716723879657405,37.98550125738783,1.8688476479600422,M44,-0.4312329172866016,0.21367999864140952,32.64237336395298,0.4384346339655808,5.0705114605232246e+33,311,27
181,3249.0,3000.0,-2.175726233389131,0.05716723879657405,37.98550125738783,1.8688476479600422,M44,-0.4547140131361245,0.2215332315806906,32.70192821339586,0.47554709380074534,5.0705114605232246e+33,311,27
101,3249.0,3000.0,-2.175726233389131,0.05716723879657405,37.98550125738783,1.8688476479600422,M44,-0.4795375968611566,0.22880341980972863,32.728720620976816,0.513670199157517,5.0705114605232246e+33,311,27
7,3249.0,3000.0,-2.175726233389131,0.05716723879657405,37.98550125738783,1.8688476479600422,M44,-0.5058665355835057,0.23627007560568614,32.73984918451186,0.5574256841305543,5.0705114605232246e+33,311,27
15,3249.0,3000.0,-2.175726233389131,0.05716723879657405,37.98550125738783,1.8688476479600422,M44,-0.5338952591837491,0.24401662842961702,32.7612242034592,0.6089724939708361,5.0705114605232246e+33,311,27
88,3249.0,3000.0,-2.175726233389131,0.05716723879657405,37.98550125738783,1.8688476479600422,M44,-0.5638584825611925,0.2552351053478983,32.77799869434041,0.6986335513908308,5.0705114605232246e+33,311,27
146,3249.0,3000.0,-2.175726233389131,0.05716723879657405,37.98550125738783,1.8688476479600422,M44,-0.5960431659325938,0.2615510037782185,32.792465628947504,0.7599782348147149,5.0705114605232246e+33,311,27
164,3249.0,3000.0,-2.175726233389131,0.05716723879657405,37.98550125738783,1.8688476479600422,M44,-0.6308052721918056,0.2559422034166403,32.80678839702549,0.70504421954018,5.0705114605232246e+33,311,27
179,3249.0,3000.0,-2.175726233389131,0.05716723879657405,37.98550125738783,1.8688476479600422,M44,-0.6685938330812056,0.2701082167790161,32.8314924098321,0.861859004013611,5.0705114605232246e+33,311,27
104,3249.0,3000.0,-2.175726233389131,0.05716723879657405,37.98550125738783,1.8688476479600422,M44,-0.7099865182394305,0.2856593319902909,32.9804368244346,1.1577243610890555,5.0705114605232246e+33,311,27
