,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,istart,istop,stars_in_bin
20,211892510,2.0152606473591297e+27,1.1600772812766656e+27,3030,3249.0,3000.0,2229.3180347323237,442.40932493410565,1.9021936597972812e+32,9.823981917312485e+31,4.125,3.5527080039152304e+32,1245.0,1250.0,311
35,211901458,2.0152606473591297e+27,1.1600772812766656e+27,3030,3249.0,3000.0,1933.973755518754,434.46634735126685,1.6501874378833647e+32,8.954815374447715e+31,4.75,3.699956761254142e+32,3021.0,3023.0,311
115,211949413,1.3011615595745358e+28,1.1235132039949538e+28,3200,3249.0,3000.0,981.7540659575518,218.67902029046203,1.9598057545163328e+32,1.1402340775575832e+32,4.714285714285714,3.8177086324619224e+32,975.0,977.0,311
205,212017838,1.3011615595745358e+28,1.1235132039949538e+28,3200,3249.0,3000.0,7615.665392202953,1951.6188530765342,1.520261069207077e+33,9.354626956793728e+32,1.8571428571428572,3.838460856510977e+32,3416.0,3417.0,311
96,211938350,1.3011615595745358e+28,1.1235132039949538e+28,3200,3249.0,3000.0,819.824591358906,141.94797415975833,1.636557471521237e+32,8.70993702411666e+31,4.428571428571429,4.083784776235953e+32,123.0,133.0,311
169,211989060,1.3011615595745358e+28,1.1235132039949538e+28,3200,3249.0,3000.0,748.4661875661806,138.74695350210013,1.4941097697644002e+32,8.13455526074321e+31,1.9166666666666667,4.161679402600022e+32,1293.0,1301.0,311
209,212021051,1.3011615595745358e+28,1.1235132039949538e+28,3200,3249.0,3000.0,987.1744699709086,157.2428670248942,1.9706261211901584e+32,1.0214786900718698e+32,2.875,4.314585603715048e+32,94.0,106.0,311
59,211908029,1.3011615595745358e+28,1.1235132039949538e+28,3200,3249.0,3000.0,585.0221027234189,131.305231663591,1.1678379781583447e+32,6.814468557233421e+31,2.7272727272727275,4.36923439421781e+32,913.0,915.0,311
150,211978983,1.3011615595745358e+28,1.1235132039949538e+28,3200,3249.0,3000.0,1828.0797291550757,410.4868956444521,3.64926542923804e+32,2.1297549636602922e+32,1.5384615384615383,4.3890786571521064e+32,1275.0,1289.0,311
181,211992880,2.0152606473591297e+27,1.1600772812766656e+27,3030,3249.0,3000.0,2287.5567102357686,451.4584193210672,1.951886542361229e+32,1.0059220245926927e+32,2.111111111111111,5.0341738965135074e+32,72.0,77.0,311
101,211943375,6.372813724560243e+27,2.274461611803033e+27,3100,3249.0,3000.0,1703.6107785740367,318.8420749539803,2.5377416293298495e+32,1.4610588151385665e+32,2.2857142857142856,5.3545209359205995e+32,1011.0,1019.0,311
7,211801146,2.0152606473591297e+27,1.1600772812766656e+27,3030,3249.0,3000.0,2422.8964253730833,472.82441886192186,2.0673668569875277e+32,1.0608761362701128e+32,2.428571428571429,5.4935007040581076e+32,2101.0,2106.0,311
15,211835162,1.3011615595745358e+28,1.1235132039949538e+28,3200,3249.0,3000.0,2310.7962362726425,396.46129278311815,4.6128780296364125e+32,2.447757715518162e+32,1.5833333333333335,5.7706429453252096e+32,1590.0,1601.0,311
88,211929980,1.3011615595745358e+28,1.1235132039949538e+28,3200,3249.0,3000.0,1478.111410847118,379.33793182734485,2.9506485883193548e+32,1.8167245566958125e+32,3.166666666666667,5.997892730509403e+32,1045.0,1046.0,311
146,211974687,1.3011615595745358e+28,1.1235132039949538e+28,3200,3249.0,3000.0,1071.617313533831,225.50472006131275,2.1391933586285143e+32,1.2182718265550893e+32,4.75,6.201055651477303e+32,2403.0,2406.0,311
164,211982727,2.0152606473591297e+27,1.1600772812766656e+27,3030,3249.0,3000.0,4044.1760269064434,773.0321611864711,3.450744074032164e+32,1.7569528772333327e+32,1.6666666666666667,6.408972336696664e+32,2991.0,2996.0,311
179,211991662,1.3011615595745358e+28,1.1235132039949538e+28,3200,3249.0,3000.0,2559.824315193389,501.77339213800036,5.1099950562198584e+32,2.8364828647996453e+32,1.8571428571428572,6.784102638134157e+32,1665.0,1670.0,311
104,211945329,1.3011615595745358e+28,1.1235132039949538e+28,3200,3249.0,3000.0,2725.2941877556764,508.32804821091895,5.440310783642246e+32,2.9681727910439063e+32,1.8333333333333335,9.559536250889671e+32,1239.0,1246.0,311
44,211901847,1.3011615595745358e+28,1.1235132039949538e+28,3200,3249.0,3000.0,1423.6876816570646,290.8557787968717,2.842006371956467e+32,1.6010841460920911e+32,3.2,9.66163641947497e+32,2924.0,2927.0,311
176,211991074,2.0152606473591297e+27,1.1600772812766656e+27,3030,3249.0,3000.0,2174.5630698947184,486.73220181357595,1.8554732971869183e+32,1.005359940671931e+32,4.0,1.087819374868733e+33,1719.0,1721.0,311
180,211992053,1.3011615595745358e+28,1.1235132039949538e+28,3200,3249.0,3000.0,1896.1051919596273,356.29505725956267,3.785059818159635e+32,2.070334878899484e+32,2.875,1.0960161516401887e+33,1201.0,1208.0,311
225,212031189,1.3011615595745358e+28,1.1235132039949538e+28,3200,3249.0,3000.0,2641.450371696661,404.99061365254636,5.272939342167439e+32,2.7017901384128476e+32,1.6666666666666667,1.1537791949692208e+33,2591.0,2610.0,311
147,211976466,6.372813724560243e+27,2.274461611803033e+27,3100,3249.0,3000.0,6934.217837382209,1219.278220819962,1.0329385968956921e+33,5.830011447262056e+32,2.4,1.9410055099614606e+33,2837.0,2853.0,311
126,211953966,6.372813724560243e+27,2.274461611803033e+27,3100,3249.0,3000.0,1822.617787935286,361.7285710666244,2.7150174752192953e+32,1.5938286302358819e+32,4.285714285714286,2.1291945529519704e+33,1093.0,1096.0,311
