,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,istart,istop,stars_in_bin,tobs
183,212014467,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,123.72489062443242,20.250936709377545,2.6651926069085026e+32,1.5979176057643247e+32,2.5,5.817808044920575e+32,2291.0,2295.0,164,26.940501178796872
120,211953038,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,249.53842566579826,44.55415537441738,5.375377289626304e+32,3.3027374027445665e+32,1.3333333333333333,6.0494763857540745e+32,1289.0,1295.0,164,26.940501178796872
71,211916235,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,228.29668217939536,41.85334417532734,2.2412741148934703e+32,1.358110599166644e+32,1.3333333333333333,6.184811703646046e+32,1872.0,1875.0,164,26.940501178796872
5,211832848,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,344.3939175152401,450.0444685485784,3.381044197773846e+32,5.8471723213415336e+32,3.5,6.267868989714027e+32,801.0,813.0,164,26.940501178796872
62,211913859,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,129.88474713769247,23.984768612683837,2.797883805550111e+32,1.736185687503816e+32,4.0,6.556593944301738e+32,3103.0,3105.0,164,26.940501178796872
204,212074153,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,138.05631360026447,25.401125492446944,2.973909813033262e+32,1.8434208784035527e+32,4.75,6.594371550240103e+32,3060.0,3062.0,164,26.940501178796872
56,211913532,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,190.52447416230467,33.883633450570635,4.1041411910711386e+32,2.5187827273966843e+32,1.8888888888888888,6.788574584094375e+32,290.0,299.0,164,26.940501178796872
79,211925698,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,1038.4300784440002,155.62566116522464,1.0194657376205139e+33,5.836362339458691e+32,2.2,7.4120077105925e+32,1941.0,1954.0,164,26.940501178796872
225,212111862,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,505.1849647581922,89.66046405434626,4.9595901873693404e+32,2.9762819626857073e+32,2.25,8.410499466971499e+32,1653.0,1655.0,164,26.940501178796872
210,212078299,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,465.0910247231973,83.85598644576827,4.5659729472645894e+32,2.7529443651863675e+32,2.0,8.686040212669136e+32,1039.0,1041.0,164,26.940501178796872
