,EPIC,Tmax,Tmin,alpha,alpha_err,beta,beta_err,cluster,count_per_yr,high_yerr,istart,istop,logE,low_yerr,maxenerg,n_obj,nflares,tobs
130,212078811,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.5147266768447178,0.11176231606527787,2842.0,2844.0,32.57578274915625,0.15088029630431277,3.4447382551923174e+34,132,71,21.703594760057797
93,211985566,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.5085663681398995,0.11264805334825123,1493.0,1495.0,32.63867078200721,0.15250660649464054,3.4447382551923174e+34,132,71,21.703594760057797
15,211908928,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.5023174188628978,0.11168444748174688,608.0,610.0,32.66301004616211,0.1507377701101842,3.4447382551923174e+34,132,71,21.703594760057797
12,211892240,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.495977240831879,0.1127917170033097,2701.0,2703.0,32.73510100665306,0.15277127711401417,3.4447382551923174e+34,132,71,21.703594760057797
116,212013619,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.48954313082646905,0.11406733327551999,1098.0,1101.0,32.74285921425997,0.15513230429990488,3.4447382551923174e+34,132,71,21.703594760057797
107,212005503,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.4830122636675114,0.11496361309356007,2819.0,2821.0,32.75026094847343,0.1568031125388869,3.4447382551923174e+34,132,71,21.703594760057797
74,211970517,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.47638168476849807,0.11577581393455194,1639.0,1644.0,32.76210357481021,0.15832575319622078,3.4447382551923174e+34,132,71,21.703594760057797
30,211924229,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.4696483021095297,0.1170883365640556,1237.0,1239.0,32.76557649547775,0.1608037640824178,3.4447382551923174e+34,132,71,21.703594760057797
21,211915940,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.4628088775792243,0.11855664157163637,885.0,887.0,32.793271233203264,0.16360172063986989,3.4447382551923174e+34,132,71,21.703594760057797
7,211846954,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.4558600176238965,0.11791031634916371,1777.0,1779.0,32.79557481446642,0.16236671569858396,3.4447382551923174e+34,132,71,21.703594760057797
98,211987847,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.44879816313640974,0.11755703421731978,888.0,890.0,32.807273776863674,0.16169391624167284,3.4447382551923174e+34,132,71,21.703594760057797
17,211908928,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.44161957850928624,0.11720553491742436,2657.0,2659.0,32.81345512096136,0.1610260865568931,3.4447382551923174e+34,132,71,21.703594760057797
134,212112752,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.43432033976778683,0.11872600706083603,1834.0,1836.0,32.83534419909206,0.16392623223133151,3.4447382551923174e+34,132,71,21.703594760057797
24,211918605,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.42689632168857994,0.12026019236138552,3290.0,3295.0,32.848167345780254,0.1668827110774007,3.4447382551923174e+34,132,71,21.703594760057797
53,211945445,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.41934318379813407,0.1217330151812066,66.0,68.0,32.855682473636016,0.1697499432080154,3.4447382551923174e+34,132,71,21.703594760057797
115,212013619,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.41165635513184307,0.12326796653473493,1089.0,1094.0,32.856066386854295,0.17276887895387572,3.4447382551923174e+34,132,71,21.703594760057797
108,212007343,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.4038310176198865,0.1228581903353112,178.0,183.0,32.85831839668171,0.17195983127357972,3.4447382551923174e+34,132,71,21.703594760057797
123,212019656,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.3958620879486112,0.1235573355153512,561.0,563.0,32.86173191171997,0.17334156925228528,3.4447382551923174e+34,132,71,21.703594760057797
75,211970517,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.38774419772643176,0.12277416945669839,3295.0,3298.0,32.87802000350355,0.17179422361230823,3.4447382551923174e+34,132,71,21.703594760057797
3,211827220,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.37947167176044183,0.12439276932558041,1785.0,1787.0,32.88305980071779,0.17500137925162673,3.4447382551923174e+34,132,71,21.703594760057797
6,211846954,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.37103850422357887,0.126131138341107,1752.0,1754.0,32.89335993443042,0.1784859292922445,3.4447382551923174e+34,132,71,21.703594760057797
4,211846954,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.36243833246166135,0.1252535430120345,251.0,254.0,32.89346677806351,0.17672155727107897,3.4447382551923174e+34,132,71,21.703594760057797
18,211912940,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.35366440815415623,0.12424691263368959,2983.0,2986.0,32.90349387536217,0.17471090854707327,3.4447382551923174e+34,132,71,21.703594760057797
0,211827220,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.3447095655012298,0.12499817867537821,931.0,934.0,32.90842610570195,0.17621016760298858,3.4447382551923174e+34,132,71,21.703594760057797
28,211923569,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.3355661860613601,0.12602411608135866,2113.0,2118.0,32.917139133074336,0.17827018972655528,3.4447382551923174e+34,132,71,21.703594760057797
