,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,istart,istop,stars_in_bin,tobs
130,212078811,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,36.149668223855926,6.812287341600873,1.3911229705891502e+32,7.246507627261649e+31,2.125,3.765154043451781e+32,2842.0,2844.0,132,21.703594760057797
93,211985566,1.3742317915994988e+32,5.53749986589713e+31,3650,3749.0,3500.0,39.01675075672347,8.56550628069687,2.0188042235288644e+32,1.1017241276044104e+32,4.5,4.351818579463862e+32,1493.0,1495.0,132,21.703594760057797
15,211908928,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,61.23055287690093,10.507760068195337,2.3562935095686134e+32,1.1877454733604344e+32,1.6666666666666667,4.602672204254228e+32,608.0,610.0,132,21.703594760057797
12,211892240,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,88.55174298545379,15.521176332221584,2.5790570796615232e+32,1.2937191766319298e+32,1.2857142857142856,5.4337669340006844e+32,2701.0,2703.0,132,21.703594760057797
116,212013619,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,49.513633358745196,137.68992403681077,1.4420776186710806e+32,4.4808171582479196e+32,2.2222222222222223,5.531707581483179e+32,1098.0,1101.0,132,21.703594760057797
107,212005503,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,87.1340239148382,15.13962659409286,2.5377662108116245e+32,1.2691314500399889e+32,2.4,5.6267931291698954e+32,2819.0,2821.0,132,21.703594760057797
74,211970517,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,71.83317547524788,78.96520675818564,2.7643069871394678e+32,3.957796348587468e+32,1.4444444444444444,5.782339338661426e+32,1639.0,1644.0,132,21.703594760057797
30,211924229,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,66.87564025053128,12.148433517555338,2.5735295480243573e+32,1.3231055283513896e+32,1.090909090909091,5.8287643206344136e+32,1237.0,1239.0,132,21.703594760057797
21,211915940,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,168.27980544168776,30.3715605631802,4.90112570296602e+32,2.4840342601122426e+32,4.125,6.212569113528027e+32,885.0,887.0,132,21.703594760057797
7,211846954,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,133.11648689085746,24.404855457954902,3.8769989879468765e+32,1.9760343075404587e+32,3.8000000000000003,6.245609320490318e+32,1777.0,1779.0,132,21.703594760057797
98,211987847,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,29.505945108257013,12.61839034651569,8.593565079351958e+31,6.479571168445105e+31,3.75,6.4161391902592046e+32,888.0,890.0,132,21.703594760057797
17,211908928,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,99.77033595721913,18.18792242565371,3.839393636312598e+32,1.97637316093655e+32,1.2,6.508113539483556e+32,2657.0,2659.0,132,21.703594760057797
134,212112752,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,119.16007265108814,20.469859451510967,3.470520383029087e+32,1.7287750983201524e+32,1.2857142857142856,6.844538947334951e+32,1834.0,1836.0,132,21.703594760057797
24,211918605,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,181.55923871137733,30.929062261176384,5.287887332194612e+32,2.6264898494191602e+32,1.5333333333333332,7.049646591891313e+32,3290.0,3295.0,132,21.703594760057797
53,211945445,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,139.0834518599281,24.983041729349647,4.050786004765979e+32,2.0495887430771054e+32,1.5,7.17269681077229e+32,66.0,68.0,132,21.703594760057797
