,EPIC,Tmax,Tmin,alpha,alpha_err,beta,beta_err,cluster,count_per_yr,high_yerr,istart,istop,logE,low_yerr,maxenerg,n_obj,nflares,tobs
559,211031293,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.7519926957594212,0.04281896330160517,174.0,176.0,32.931593024841355,0.04750710458139418,6.024271647734758e+34,737,596,105.50026827135146
598,211037018,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.7512634017477344,0.0428767422307712,2502.0,2504.0,32.93214834042695,0.047578252142878696,6.024271647734758e+34,737,596,105.50026827135146
908,211067768,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.7505328810003782,0.04286657324418819,609.0,611.0,32.932490225839416,0.04756572876968779,6.024271647734758e+34,737,596,105.50026827135146
211,210978953,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.7498011293834472,0.042840323317274276,1340.0,1343.0,32.93364413710729,0.047533404321976835,6.024271647734758e+34,737,596,105.50026827135146
901,211066181,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.7490681427421046,0.04280759448792759,1921.0,1924.0,32.936357239524924,0.04749310778858229,6.024271647734758e+34,737,596,105.50026827135146
612,211038810,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.7483339169004402,0.04286266750445611,1408.0,1421.0,32.93641869995591,0.0475609189228865,6.024271647734758e+34,737,596,105.50026827135146
828,211061207,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.7475984476613289,0.042910080242068105,940.0,943.0,32.93696214420963,0.04761931336613845,6.024271647734758e+34,737,596,105.50026827135146
713,211048116,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.7468617308062862,0.04287696343354375,851.0,855.0,32.93783819506447,0.04757852456715472,6.024271647734758e+34,737,596,105.50026827135146
832,211061316,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.7461237620953232,0.04293314713248986,849.0,851.0,32.942784576293995,0.04764772813887941,6.024271647734758e+34,737,596,105.50026827135146
734,211051985,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.7453845372667991,0.0429808407613983,1632.0,1634.0,32.943694721806104,0.047706489855043444,6.024271647734758e+34,737,596,105.50026827135146
