,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,istart,istop,stars_in_bin,tobs
1541,211129321.0,8.357184523416163e+31,2.79025363293769e+31,3500.0,7000.0,3000.0,96.08451523502443,18.188968298558425,2.7994132588961748e+32,1.4435226665420549e+32,2.25,8.532843663589867e+32,2529.0,2531.0,759,107.70600064643702
591,211031293.0,4.227270036854636e+32,1.5087155904928934e+32,4070.0,7000.0,3000.0,23.843207500999426,4.394874754035527,4.745070099214819e+32,2.584522199200109e+32,1.4166666666666665,8.542658095200763e+32,174.0,176.0,759,107.70600064643702
631,211037018.0,6.761763726573059e+31,2.257582772077468e+31,3410.0,7000.0,3000.0,115.10164345863144,24.34277168966573,2.4720633869847954e+32,1.5999551589393541e+32,3.8333333333333335,8.553588248762482e+32,2502.0,2504.0,759,107.70600064643702
958,211067768.0,2.897743840299961e+32,8.673992300987034e+31,3940.0,7000.0,3000.0,30.71602474210013,42.10225810823814,3.64447256853245e+32,6.066496403982073e+32,4.2,8.560324457770765e+32,609.0,611.0,759,107.70600064643702
233,210978953.0,2.5945377341929524e+31,2.240303966236216e+31,3200.0,7000.0,3000.0,649.765263143433,110.69433099623124,4.482199376152206e+32,2.3731662819609127e+32,4.333333333333333,8.583099301837108e+32,1340.0,1343.0,759,107.70600064643702
942,211066181.0,3.388909656562385e+31,2.926219821264045e+31,3250.0,7000.0,3000.0,422.00949859823436,74.7995339449921,4.143025454501154e+32,2.4852851847931895e+32,1.6,8.636887038702625e+32,1921.0,1924.0,759,107.70600064643702
645,211038810.0,2.5945377341929524e+31,2.240303966236216e+31,3200.0,7000.0,3000.0,609.6769486516171,57.595243762986904,4.20566286612559e+32,1.9075736670422052e+32,2.0,8.638109399069548e+32,1408.0,1421.0,759,107.70600064643702
866,211061207.0,3.388909656562385e+31,2.926219821264045e+31,3250.0,7000.0,3000.0,497.55262052960126,87.24012248230434,4.884660602794583e+32,2.920853374346037e+32,4.333333333333333,8.648925261135057e+32,940.0,943.0,759,107.70600064643702
746,211048116.0,3.388909656562385e+31,2.926219821264045e+31,3250.0,7000.0,3000.0,355.0899179000679,61.96043787665869,3.486050843365688e+32,2.081584438376616e+32,1.5555555555555554,8.666389322539588e+32,851.0,855.0,759,107.70600064643702
870,211061316.0,6.761763726573059e+31,2.257582772077468e+31,3410.0,7000.0,3000.0,209.16929371390268,41.62578205896268,4.492375062024643e+32,2.8514467040653185e+32,2.0,8.765659090600747e+32,849.0,851.0,759,107.70600064643702
767,211051985.0,3.388909656562385e+31,2.926219821264045e+31,3250.0,7000.0,3000.0,324.7473261962796,58.06620870063102,3.1881662455026188e+32,1.9174595658983585e+32,2.2857142857142856,8.784048435115903e+32,1632.0,1634.0,759,107.70600064643702
