,EPIC,Tmax,Tmin,alpha,alpha_err,beta,beta_err,cluster,count_per_yr,high_yerr,istart,istop,logE,low_yerr,maxenerg,n_obj,nflares,tobs
376,211063235,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.9336504950876139,0.06560002514091368,2266.0,2268.0,32.77673423432582,0.07730276462271757,2.137683048810364e+34,198,269,31.340201536238503
283,211041682,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.9320330091139948,0.06572784254797526,1456.0,1458.0,32.78328450965061,0.07748044748496019,2.137683048810364e+34,198,269,31.340201536238503
115,211003744,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.9304094764497812,0.06583099435142081,3090.0,3093.0,32.79017110207239,0.0776239331229589,2.137683048810364e+34,198,269,31.340201536238503
33,210886447,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.9287798517162729,0.06595200454506234,1199.0,1203.0,32.79496346181573,0.07779236395830491,2.137683048810364e+34,198,269,31.340201536238503
503,211098921,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.9271440890220137,0.06609495772569973,502.0,505.0,32.81363783825361,0.07799148136371903,2.137683048810364e+34,198,269,31.340201536238503
252,211031105,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.9255021419550371,0.06619686419727211,2753.0,2759.0,32.81855972904987,0.07813352120425776,2.137683048810364e+34,198,269,31.340201536238503
108,211003744,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.9238539635749639,0.06638719682604055,751.0,755.0,32.82143708967133,0.07839902549650546,2.137683048810364e+34,198,269,31.340201536238503
311,211047990,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.9221995064049511,0.0665886915941285,50.0,59.0,32.82220881644352,0.07868040433292389,2.137683048810364e+34,198,269,31.340201536238503
433,211078992,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.9205387224234867,0.06671397540927337,545.0,547.0,32.8240635412093,0.07885551566919169,2.137683048810364e+34,198,269,31.340201536238503
431,211078992,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.9188715630560236,0.06676791514267677,228.0,232.0,32.833298252239764,0.07893094547179791,2.137683048810364e+34,198,269,31.340201536238503
48,210927331,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.9171979791664577,0.06682171455392538,2216.0,2219.0,32.836305704307186,0.07900620143368142,2.137683048810364e+34,198,269,31.340201536238503
257,211032382,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.9155179210484359,0.0667931750366586,1709.0,1728.0,32.837147971858954,0.07896627685821489,2.137683048810364e+34,198,269,31.340201536238503
126,211005117,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.9138313384165004,0.06691976984561254,789.0,793.0,32.8422224534794,0.0791434211725579,2.137683048810364e+34,198,269,31.340201536238503
475,211092628,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.9121381803970554,0.06712087758436969,2638.0,2644.0,32.84230168259462,0.0794250864788264,2.137683048810364e+34,198,269,31.340201536238503
62,210947594,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.9104383955191608,0.06718989718303048,1112.0,1114.0,32.84713008253526,0.07952182540726849,2.137683048810364e+34,198,269,31.340201536238503
501,211098454,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.9087319317051439,0.06735607718172387,1757.0,1761.0,32.849094722505534,0.07975489740424324,2.137683048810364e+34,198,269,31.340201536238503
41,210919084,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.9070187362610238,0.0672944433926741,2539.0,2541.0,32.85181711788693,0.07966842932918006,2.137683048810364e+34,198,269,31.340201536238503
382,211064559,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.90529875586675,0.06744696747510037,920.0,922.0,32.85368471482005,0.07988246421780953,2.137683048810364e+34,198,269,31.340201536238503
132,211005706,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.9035719365662438,0.06734057651167547,1614.0,1621.0,32.855649656985,0.07973314822755295,2.137683048810364e+34,198,269,31.340201536238503
522,211104535,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.9018382237572433,0.0675316164098545,2482.0,2486.0,32.85752146346795,0.08000132885935196,2.137683048810364e+34,198,269,31.340201536238503
317,211048116,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.9000975621809422,0.06769680103959042,1801.0,1803.0,32.85942785812857,0.08023344280077627,2.137683048810364e+34,198,269,31.340201536238503
131,211005706,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.8983498959114222,0.0676635088719939,947.0,951.0,32.859522043064366,0.08018664426441013,2.137683048810364e+34,198,269,31.340201536238503
25,210882573,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.8965951683448716,0.06785762427553044,1400.0,1404.0,32.86133031768081,0.08045963235473064,2.137683048810364e+34,198,269,31.340201536238503
498,211095292,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.8948333221885851,0.06799990433246261,1251.0,1259.0,32.885599969332844,0.08065991004024786,2.137683048810364e+34,198,269,31.340201536238503
