,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,istart,istop,stars_in_bin,tobs
276,211041682,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,209.94254362276757,37.90661738146147,2.0610846559165196e+32,1.243211359194174e+32,2.8,6.0713393744170725e+32,1456.0,1458.0,195,30.864210206099326
108,211003744,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,121.36159664560279,19.619815495388288,2.6065097824727322e+32,1.55710085684916e+32,2.5999999999999996,6.1683797402023025e+32,3090.0,3093.0,195,30.864210206099326
33,210886447,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,163.82085936815974,26.101514078453803,1.6082907910722065e+32,9.359537917217373e+31,2.3333333333333335,6.236823614569971e+32,1199.0,1203.0,195,30.864210206099326
493,211098921,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,313.71079664185135,56.672616996344786,3.0798164973921346e+32,1.8579867371614756e+32,2.833333333333333,6.510852222837939e+32,502.0,505.0,195,30.864210206099326
245,211031105,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,300.8674979307126,44.01030024462884,2.9537290191321554e+32,1.6803881848426584e+32,1.625,6.585059888478299e+32,2753.0,2759.0,195,30.864210206099326
101,211003744,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,191.2658367027309,32.55879525330442,4.107858566448445e+32,2.4891695375131274e+32,1.4285714285714286,6.628833178344724e+32,751.0,755.0,195,30.864210206099326
304,211047990,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,129.51597979075228,121.57751473893138,2.781643268067271e+32,3.82317891107713e+32,2.5999999999999996,6.640622865081765e+32,50.0,59.0,195,30.864210206099326
423,211078992,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,251.0514331266271,44.000831331041724,2.4646660354506104e+32,1.4736045109845e+32,3.3333333333333335,6.669043362100668e+32,545.0,547.0,195,30.864210206099326
421,211078992,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,280.93155884013225,48.433976871882265,2.7580104313136094e+32,1.6411013202117963e+32,3.3333333333333335,6.81237038412769e+32,228.0,232.0,195,30.864210206099326
48,210927331,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,105.31948914721855,193.8685270042833,2.261969900980223e+32,5.149354195263732e+32,4.0,6.859709184599198e+32,2216.0,2219.0,195,30.864210206099326
250,211032382,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,2751.9519064729598,429.2109272247781,2.701694354262611e+33,1.563178633554084e+33,2.5999999999999996,6.873025763441777e+32,1709.0,1728.0,195,30.864210206099326
119,211005117,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,413.8550032470756,73.06524808586516,4.0629697166073824e+32,2.434425417103929e+32,1.5555555555555554,6.953804127916778e+32,789.0,793.0,195,30.864210206099326
465,211092628,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,411.2887070376021,68.13590035487452,4.037775424642497e+32,2.375384400590103e+32,3.2,6.955072838502171e+32,2638.0,2644.0,195,30.864210206099326
62,210947594,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,132.03146928814215,24.820965445438723,2.8356689908978686e+32,1.76865752205758e+32,2.142857142857143,7.032829399399599e+32,1112.0,1114.0,195,30.864210206099326
491,211098454,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,1156.708069494051,209.78609687909366,2.4842874368286686e+33,1.5330286349377634e+33,4.222222222222222,7.064716236050435e+32,1757.0,1761.0,195,30.864210206099326
41,210919084,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,359.1095706626303,66.50413685515922,3.5255132814597806e+32,2.1428694854963227e+32,2.3333333333333335,7.109140835350289e+32,2539.0,2541.0,195,30.864210206099326
372,211064559,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,309.65461062009746,55.20119478199492,3.0399953985966385e+32,1.8267118034745332e+32,4.5,7.13977810731357e+32,920.0,922.0,195,30.864210206099326
125,211005706,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,343.0651807634375,49.967895920516675,3.367999490952472e+32,1.9139575917343996e+32,1.8181818181818181,7.172154839817217e+32,1614.0,1621.0,195,30.864210206099326
512,211104535,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,344.2139959602926,60.571109335062324,3.379277840418296e+32,2.0228198361475394e+32,2.2,7.203133492970208e+32,2482.0,2486.0,195,30.864210206099326
310,211048116,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,313.52148682676,55.81089364740846,3.077957971967196e+32,1.848741414898557e+32,4.0,7.23482212643558e+32,1801.0,1803.0,195,30.864210206099326
124,211005706,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,407.0718576408704,66.67708951528898,3.9963770332638956e+32,2.343566672701713e+32,1.8181818181818181,7.23639130398596e+32,947.0,951.0,195,30.864210206099326
25,210882573,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,523.4696565269771,91.57393180961049,5.139097861195193e+32,3.0709317963241714e+32,2.5,7.26658432496327e+32,1400.0,1404.0,195,30.864210206099326
488,211095292,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,236.31426504349434,41.905828538639945,5.075373599215412e+32,3.1114884235531796e+32,3.0,7.684223168388486e+32,1251.0,1259.0,195,30.864210206099326
175,211018106,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,2252.8416292264997,392.34535817029314,2.2116990839893593e+33,1.319901599861874e+33,4.5,7.811949516642429e+32,639.0,649.0,195,30.864210206099326
360,211061316,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,118.65794509213156,22.73599605647302,2.5484428616567583e+32,1.598726538929084e+32,3.0,7.900127203551306e+32,2081.0,2083.0,195,30.864210206099326
481,211094777,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,514.9267485385226,92.1945593397221,5.0552289308294246e+32,3.041579542071456e+32,1.9000000000000001,8.062169881537063e+32,1060.0,1063.0,195,30.864210206099326
4,210866482,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,474.58857782468465,85.8966575292529,4.659213986591051e+32,2.8123844821866e+32,2.7142857142857144,8.332671918196295e+32,813.0,815.0,195,30.864210206099326
