,Tmin,Tmax,cluster,threshold
0,3000.0,3249.0,Pleiades,4.7816636727268914e+32
1,3250.0,3499.0,Pleiades,5.8700639913444396e+32
2,3500.0,3749.0,Pleiades,7.601243989475055e+32
3,3750.0,4000.0,Pleiades,9.872669533310996e+32
4,3000.0,7000.0,Pleiades,8.467838464548478e+32
5,4000.0,7000.0,Pleiades,2.2132748377614832e+33
6,3000.0,3249.0,M44,1.1317092011568464e+33
7,3250.0,3499.0,M44,5.7158203983640194e+32
8,3500.0,3749.0,M44,3.61178745738096e+32
9,3750.0,4000.0,M44,3.995716136531224e+32
10,3000.0,7000.0,M44,7.680611664805608e+32
11,4000.0,7000.0,M44,1.3257043103297116e+33
12,3000.0,3249.0,M67,
13,3250.0,3499.0,M67,
14,3500.0,3749.0,M67,
15,3750.0,4000.0,M67,
16,3000.0,7000.0,M67,
17,4000.0,7000.0,M67,
